[
  <<|java+class:///org/apache/cayenne/modeler/action/ValidateAction|,|java+class:///org/apache/cayenne/modeler/util/CayenneAction|>,220,<|java+method:///org/apache/cayenne/modeler/util/CayenneAction/getCurrentProject()|,|java+method:///org/apache/cayenne/modeler/action/ValidateAction/performAction(java.awt.event.ActionEvent)|>>,
  <<|java+class:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator|,|java+class:///org/apache/cayenne/access/trans/QualifierTranslator|>,220,<|java+method:///org/apache/cayenne/access/trans/QualifierTranslator/finishedChild(org.apache.cayenne.exp.Expression,int,boolean)|,|java+method:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator/finishedChild(org.apache.cayenne.exp.Expression,int,boolean)|>>,
  <<|java+class:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator|,|java+class:///org/apache/cayenne/access/trans/QueryAssemblerHelper|>,220,<|java+field:///org/apache/cayenne/access/trans/QueryAssemblerHelper/out|,|java+method:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator/finishedChildNodeAppendExpression(org.apache.cayenne.exp.Expression,java.lang.String)|>>,
  <<|java+class:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator|,|java+class:///org/apache/cayenne/access/trans/QualifierTranslator|>,220,<|java+field:///org/apache/cayenne/access/trans/QualifierTranslator/matchingObject|,|java+method:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator/finishedChildNodeAppendExpression(org.apache.cayenne.exp.Expression,java.lang.String)|>>,
  <<|java+class:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator|,|java+class:///org/apache/cayenne/access/trans/QualifierTranslator|>,220,<|java+field:///org/apache/cayenne/access/trans/QualifierTranslator/objectMatchTranslator|,|java+method:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator/finishedChildNodeAppendExpression(org.apache.cayenne.exp.Expression,java.lang.String)|>>,
  <<|java+class:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator|,|java+class:///org/apache/cayenne/access/trans/QueryAssemblerHelper|>,220,<|java+method:///org/apache/cayenne/access/trans/QueryAssemblerHelper/appendLikeEscapeCharacter(org.apache.cayenne.exp.parser.PatternMatchNode)|,|java+method:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator/endNode(org.apache.cayenne.exp.Expression,org.apache.cayenne.exp.Expression)|>>,
  <<|java+class:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator|,|java+class:///org/apache/cayenne/access/trans/QualifierTranslator|>,220,<|java+method:///org/apache/cayenne/access/trans/QualifierTranslator/endNode(org.apache.cayenne.exp.Expression,org.apache.cayenne.exp.Expression)|,|java+method:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator/endNode(org.apache.cayenne.exp.Expression,org.apache.cayenne.exp.Expression)|>>,
  <<|java+class:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator|,|java+class:///org/apache/cayenne/access/trans/QueryAssemblerHelper|>,220,<|java+field:///org/apache/cayenne/access/trans/QueryAssemblerHelper/out|,|java+method:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator/endNode(org.apache.cayenne.exp.Expression,org.apache.cayenne.exp.Expression)|>>,
  <<|java+class:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator|,|java+class:///org/apache/cayenne/access/trans/QualifierTranslator|>,220,<|java+field:///org/apache/cayenne/access/trans/QualifierTranslator/matchingObject|,|java+method:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator/endNode(org.apache.cayenne.exp.Expression,org.apache.cayenne.exp.Expression)|>>,
  <<|java+class:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator|,|java+class:///org/apache/cayenne/access/trans/QualifierTranslator|>,220,<|java+method:///org/apache/cayenne/access/trans/QualifierTranslator/appendObjectMatch()|,|java+method:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator/endNode(org.apache.cayenne.exp.Expression,org.apache.cayenne.exp.Expression)|>>,
  <<|java+class:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator|,|java+class:///org/apache/cayenne/access/trans/QualifierTranslator|>,220,<|java+method:///org/apache/cayenne/access/trans/QualifierTranslator/parenthesisNeeded(org.apache.cayenne.exp.Expression,org.apache.cayenne.exp.Expression)|,|java+method:///org/apache/cayenne/dba/postgres/PostgresQualifierTranslator/endNode(org.apache.cayenne.exp.Expression,org.apache.cayenne.exp.Expression)|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectBooleanTrue()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectBooleanTrue()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectBooleanTrue()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeIgnoreCaseClob()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeIgnoreCaseClob()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeIgnoreCaseClob()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeIgnoreCaseObjects1()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeIgnoreCaseObjects1()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeIgnoreCaseObjects1()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeSingleWildcardMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeSingleWildcardMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeSingleWildcardMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectEmptyNotIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectEmptyNotIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectEmptyNotIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/createDataContext()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeSingleWildcardMatchAndEscape()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/deleteTestData()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeSingleWildcardMatchAndEscape()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeCaseSensitive()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeCaseSensitive()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/getAccessStackAdapter()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeCaseSensitive()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeCaseSensitive()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/getDomain()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testRouteWithPrefetches()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectEmptyIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectEmptyIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectEmptyIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/createDataContext()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testLeftJoinAndPrefetchToOne()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeIgnoreCaseObjects2()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeIgnoreCaseObjects2()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeIgnoreCaseObjects2()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectNotLikeIgnoreCaseSingleWildcardMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectNotLikeIgnoreCaseSingleWildcardMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectNotLikeIgnoreCaseSingleWildcardMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectParameterizedEmptyIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectParameterizedEmptyIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectParameterizedEmptyIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectNotLikeSingleWildcardMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectNotLikeSingleWildcardMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectNotLikeSingleWildcardMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testFetchOffsetWithQualifier()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testFetchOffsetWithQualifier()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testFetchOffsetWithQualifier()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectBooleanFalse()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectBooleanFalse()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectBooleanFalse()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectBooleanNotTrueOr()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectBooleanNotTrueOr()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectBooleanNotTrueOr()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectParameterizedIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectParameterizedIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectParameterizedIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testFetchLimitWithQualifier()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testFetchLimitWithQualifier()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testFetchLimitWithQualifier()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeExactMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeExactMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeExactMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/createDataContext()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testFetchLimitWithOffset()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectBooleanFalseOr()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectBooleanFalseOr()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectBooleanFalseOr()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectAllObjectsRootClass()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectAllObjectsRootClass()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectAllObjectsRootClass()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/getConnection()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/populateTables()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeMultipleWildcardMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeMultipleWildcardMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectLikeMultipleWildcardMatch()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectParameterizedEmptyNotIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectParameterizedEmptyNotIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectParameterizedEmptyNotIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/getDomain()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testRouteQueryWithPrefetchesPrefetchExpressionPath()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectAllObjectsRootObjEntity()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectAllObjectsRootObjEntity()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/unit/CayenneCase|>,220,<|java+method:///org/apache/cayenne/unit/CayenneCase/getDomain()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectAllObjectsRootObjEntity()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectAllObjectsRootObjEntity()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectAllObjectsRootEntityName()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectAllObjectsRootEntityName()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectAllObjectsRootEntityName()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+method:///org/apache/cayenne/query/SelectQueryBase/performQuery()|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/opObserver|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testSelectIn()|>>,
  <<|java+class:///org/apache/cayenne/query/SelectQueryTest|,|java+class:///org/apache/cayenne/query/SelectQueryBase|>,220,<|java+field:///org/apache/cayenne/query/SelectQueryBase/query|,|java+method:///org/apache/cayenne/query/SelectQueryTest/testFetchLimit()|>>,
