[
  <<|java+class:///net/suberic/pooka/resource/FileResourceManager|,|java+class:///net/suberic/pooka/resource/ResourceManager|>,220,<|java+method:///net/suberic/pooka/resource/ResourceManager/translateName(java.lang.String)|,|java+method:///net/suberic/pooka/resource/FileResourceManager/translateName(java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+field:///net/suberic/pooka/FolderInfo/folderTableModel|,|java+method:///net/suberic/pooka/UIDFolderInfo/runMessagesRemoved(javax.mail.event.MessageCountEvent)|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolderDisplayUI()|,|java+method:///net/suberic/pooka/UIDFolderInfo/runMessagesRemoved(javax.mail.event.MessageCountEvent)|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolderTableModel()|,|java+method:///net/suberic/pooka/UIDFolderInfo/runMessagesRemoved(javax.mail.event.MessageCountEvent)|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolderID()|,|java+method:///net/suberic/pooka/UIDFolderInfo/runMessagesRemoved(javax.mail.event.MessageCountEvent)|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getLogger()|,|java+method:///net/suberic/pooka/UIDFolderInfo/runMessagesRemoved(javax.mail.event.MessageCountEvent)|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+field:///net/suberic/pooka/FolderInfo/messageToInfoTable|,|java+method:///net/suberic/pooka/UIDFolderInfo/runMessagesRemoved(javax.mail.event.MessageCountEvent)|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+field:///net/suberic/pooka/FolderInfo/preferredStatus|,|java+method:///net/suberic/pooka/UIDFolderInfo/checkFolder()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+field:///net/suberic/pooka/FolderInfo/status|,|java+method:///net/suberic/pooka/UIDFolderInfo/checkFolder()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/resetMessageCounts()|,|java+method:///net/suberic/pooka/UIDFolderInfo/checkFolder()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getParentStore()|,|java+method:///net/suberic/pooka/UIDFolderInfo/checkFolder()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getLogger()|,|java+method:///net/suberic/pooka/UIDFolderInfo/checkFolder()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/openFolder(int)|,|java+method:///net/suberic/pooka/UIDFolderInfo/checkFolder()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+field:///net/suberic/pooka/FolderInfo/PASSIVE|,|java+method:///net/suberic/pooka/UIDFolderInfo/checkFolder()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolderName()|,|java+method:///net/suberic/pooka/UIDFolderInfo/checkFolder()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/isAvailable()|,|java+method:///net/suberic/pooka/UIDFolderInfo/checkFolder()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/isConnected()|,|java+method:///net/suberic/pooka/UIDFolderInfo/checkFolder()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+field:///net/suberic/pooka/FolderInfo/LOST_CONNECTION|,|java+method:///net/suberic/pooka/UIDFolderInfo/checkFolder()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/closeFolder(boolean)|,|java+method:///net/suberic/pooka/UIDFolderInfo/checkFolder()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolder()|,|java+method:///net/suberic/pooka/UIDFolderInfo/checkFolder()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolder()|,|java+method:///net/suberic/pooka/UIDFolderInfo/getUID(javax.mail.Message)|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolder()|,|java+method:///net/suberic/pooka/UIDFolderInfo/synchronizeCache()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getLogger()|,|java+method:///net/suberic/pooka/UIDFolderInfo/synchronizeCache()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/loadAllMessages()|,|java+method:///net/suberic/pooka/UIDFolderInfo/synchronizeCache()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+field:///net/suberic/pooka/FolderInfo/folderTableModel|,|java+method:///net/suberic/pooka/UIDFolderInfo/synchronizeCache()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolderDisplayUI()|,|java+method:///net/suberic/pooka/UIDFolderInfo/synchronizeCache()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/messagesAdded(javax.mail.event.MessageCountEvent)|,|java+method:///net/suberic/pooka/UIDFolderInfo/synchronizeCache()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/messagesRemoved(javax.mail.event.MessageCountEvent)|,|java+method:///net/suberic/pooka/UIDFolderInfo/synchronizeCache()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/fireMessageChangedEvent(javax.mail.event.MessageChangedEvent)|,|java+method:///net/suberic/pooka/UIDFolderInfo/runMessageChanged(javax.mail.event.MessageChangedEvent)|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/resetMessageCounts()|,|java+method:///net/suberic/pooka/UIDFolderInfo/runMessageChanged(javax.mail.event.MessageChangedEvent)|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+field:///net/suberic/pooka/FolderInfo/fetchProfile|,|java+method:///net/suberic/pooka/UIDFolderInfo/createInfosAndProxies()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolder()|,|java+method:///net/suberic/pooka/UIDFolderInfo/createInfosAndProxies()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+field:///net/suberic/pooka/FolderInfo/messageToInfoTable|,|java+method:///net/suberic/pooka/UIDFolderInfo/createInfosAndProxies()|>>,
  <<|java+class:///net/suberic/pooka/UIDFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getColumnValues()|,|java+method:///net/suberic/pooka/UIDFolderInfo/createInfosAndProxies()|>>,
  <<|java+class:///net/suberic/pooka/OutgoingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/appendMessages(net.suberic.pooka.MessageInfo%5B%5D)|,|java+method:///net/suberic/pooka/OutgoingFolderInfo/sendMessage(net.suberic.pooka.NewMessageInfo,boolean)|>>,
  <<|java+class:///net/suberic/pooka/OutgoingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolder()|,|java+method:///net/suberic/pooka/OutgoingFolderInfo/sendAll()|>>,
  <<|java+class:///net/suberic/pooka/crypto/SignedAttachment|,|java+class:///net/suberic/pooka/Attachment|>,220,<|java+method:///net/suberic/pooka/Attachment/getDataHandler()|,|java+method:///net/suberic/pooka/crypto/SignedAttachment/getDataHandler()|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/configureBasic(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/manager|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/editorTemplate|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor/createSubProperty(java.lang.String)|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/getLogger()|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/property|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/debug|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor/editors|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/configureEditor(java.lang.String,java.lang.String,java.lang.String,net.suberic.util.gui.propedit.PropertyEditorManager)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/manager|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/getHelpID()|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor/getHelpID()|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/getHelpID()|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/editorTemplate|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/getHelpID()|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/manager|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/createEditorPane(java.lang.String)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/propertyBase|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/createEditorPane(java.lang.String)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor/createSubTemplate(java.lang.String)|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/createEditorPane(java.lang.String)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/SwingPropertyEditor/property|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/createEditorPane(java.lang.String)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/addDisableMask(java.lang.Object)|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/showPanel(java.lang.String)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor|>,220,<|java+field:///net/suberic/util/gui/propedit/CompositeSwingPropertyEditor/editors|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/showPanel(java.lang.String)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/removeDisableMask(java.lang.Object)|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/showPanel(java.lang.String)|>>,
  <<|java+class:///net/suberic/util/gui/propedit/VariableEditorPane|,|java+class:///net/suberic/util/gui/propedit/SwingPropertyEditor|>,220,<|java+method:///net/suberic/util/gui/propedit/SwingPropertyEditor/isEditorEnabled()|,|java+method:///net/suberic/util/gui/propedit/VariableEditorPane/showPanel(java.lang.String)|>>,
  <<|java+class:///net/suberic/util/thread/ActionWrapper|,|java+class:///net/suberic/util/DynamicAbstractAction|>,220,<|java+method:///net/suberic/util/DynamicAbstractAction/cloneDynamicAction()|,|java+method:///net/suberic/util/thread/ActionWrapper/cloneDynamicAction()|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+field:///net/suberic/pooka/FolderInfo/DISCONNECTED|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/closeFolder(boolean,boolean)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolder()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/closeFolder(boolean,boolean)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/setStatus(int)|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/closeFolder(boolean,boolean)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/isAvailable()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/closeFolder(boolean,boolean)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/isConnected()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/closeFolder(boolean,boolean)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+field:///net/suberic/pooka/FolderInfo/CLOSED|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/closeFolder(boolean,boolean)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolderDisplayUI()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/closeFolder(boolean,boolean)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/unsubscribe()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/unsubscribe()|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/isConnected()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/updateCache()|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/createColumnInformation()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/createColumnInformation()|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolderProperty()|,|java+constructor:///net/suberic/pooka/cache/CachingFolderInfo/CachingFolderInfo(net.suberic.pooka.StoreInfo,java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getParentStore()|,|java+constructor:///net/suberic/pooka/cache/CachingFolderInfo/CachingFolderInfo(net.suberic.pooka.StoreInfo,java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolderProperty()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/getCacheDirectory()|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getParentStore()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/getCacheDirectory()|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getParentFolder()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/getCacheDirectory()|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolderName()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/getCacheDirectory()|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/isConnected()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/fetch(net.suberic.pooka.MessageInfo%5B%5D,javax.mail.FetchProfile)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getLogger()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/fetch(net.suberic.pooka.MessageInfo%5B%5D,javax.mail.FetchProfile)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/UIDFolderInfo|>,220,<|java+method:///net/suberic/pooka/UIDFolderInfo/fetch(net.suberic.pooka.MessageInfo%5B%5D,javax.mail.FetchProfile)|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/fetch(net.suberic.pooka.MessageInfo%5B%5D,javax.mail.FetchProfile)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolderProperty()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/valueChanged(java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/createFilters()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/valueChanged(java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/valueChanged(java.lang.String)|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/valueChanged(java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getParentStore()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/valueChanged(java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolderNode()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/valueChanged(java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/closed(javax.mail.event.ConnectionEvent)|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/closed(javax.mail.event.ConnectionEvent)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/tracksUnreadMessages()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/hasUnread()|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getUnreadCount()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/hasUnread()|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolderProperty()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/createChildFolder(java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getParentStore()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/createChildFolder(java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolderProperty()|,|java+constructor:///net/suberic/pooka/cache/CachingFolderInfo/CachingFolderInfo(net.suberic.pooka.FolderInfo,java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getParentStore()|,|java+constructor:///net/suberic/pooka/cache/CachingFolderInfo/CachingFolderInfo(net.suberic.pooka.FolderInfo,java.lang.String)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/loadFolder()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/openFolder(int,boolean)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+field:///net/suberic/pooka/FolderInfo/status|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/openFolder(int,boolean)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+field:///net/suberic/pooka/FolderInfo/INVALID|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/openFolder(int,boolean)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/UIDFolderInfo|>,220,<|java+method:///net/suberic/pooka/UIDFolderInfo/updateFolderOpenStatus(boolean)|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/openFolder(int,boolean)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getFolder()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/openFolder(int,boolean)|>>,
  <<|java+class:///net/suberic/pooka/cache/CachingFolderInfo|,|java+class:///net/suberic/pooka/FolderInfo|>,220,<|java+method:///net/suberic/pooka/FolderInfo/getLogger()|,|java+method:///net/suberic/pooka/cache/CachingFolderInfo/openFolder(int,boolean)|>>,
