[
  <<|java+class:///org/exolab/jms/message/TextMessageConverter|,|java+class:///org/exolab/jms/message/AbstractMessageConverter|>,220,<|java+method:///org/exolab/jms/message/AbstractMessageConverter/populate(javax.jms.Message,javax.jms.Message)|,|java+method:///org/exolab/jms/message/TextMessageConverter/populate(javax.jms.Message,javax.jms.Message)|>>,
  <<|java+class:///org/exolab/jms/net/invoke/ExportTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getRegistry(org.exolab.jms.common.security.BasicPrincipal)|,|java+method:///org/exolab/jms/net/invoke/ExportTestCase/checkExportObject(org.exolab.jms.common.security.BasicPrincipal)|>>,
  <<|java+class:///org/exolab/jms/net/connector/BasicConnectionManager|,|java+class:///org/exolab/jms/net/connector/AbstractConnectionManager|>,220,<|java+method:///org/exolab/jms/net/connector/AbstractConnectionManager/getConnectionPool(org.exolab.jms.net.connector.ManagedConnectionFactory)|,|java+method:///org/exolab/jms/net/connector/BasicConnectionManager/getConnectionPool()|>>,
  <<|java+class:///org/exolab/jms/net/connector/BasicConnectionManager|,|java+class:///org/exolab/jms/net/connector/AbstractConnectionManager|>,220,<|java+method:///org/exolab/jms/net/connector/AbstractConnectionManager/addManagedConnectionFactory(org.exolab.jms.net.connector.ManagedConnectionFactory)|,|java+constructor:///org/exolab/jms/net/connector/BasicConnectionManager/BasicConnectionManager(org.exolab.jms.net.connector.ManagedConnectionFactory,org.exolab.jms.net.connector.InvocationHandler,org.exolab.jms.net.connector.Authenticator,java.util.Map)|>>,
  <<|java+class:///org/exolab/jms/message/BytesMessageConverter|,|java+class:///org/exolab/jms/message/AbstractMessageConverter|>,220,<|java+method:///org/exolab/jms/message/AbstractMessageConverter/populate(javax.jms.Message,javax.jms.Message)|,|java+method:///org/exolab/jms/message/BytesMessageConverter/populate(javax.jms.Message,javax.jms.Message)|>>,
  <<|java+class:///org/exolab/jms/selector/MathOperator|,|java+class:///org/exolab/jms/selector/Operator|>,220,<|java+method:///org/exolab/jms/selector/Operator/operator()|,|java+method:///org/exolab/jms/selector/MathOperator/context()|>>,
  <<|java+class:///org/exolab/jms/selector/MathOperator|,|java+class:///org/exolab/jms/selector/BinaryOperator|>,220,<|java+method:///org/exolab/jms/selector/BinaryOperator/right()|,|java+method:///org/exolab/jms/selector/MathOperator/evaluate(javax.jms.Message)|>>,
  <<|java+class:///org/exolab/jms/selector/MathOperator|,|java+class:///org/exolab/jms/selector/BinaryOperator|>,220,<|java+method:///org/exolab/jms/selector/BinaryOperator/left()|,|java+method:///org/exolab/jms/selector/MathOperator/evaluate(javax.jms.Message)|>>,
  <<|java+class:///org/exolab/jms/tools/admin/OpenJMSUser|,|java+class:///org/exolab/jms/tools/admin/OpenJMSObject|>,220,<|java+field:///org/exolab/jms/tools/admin/OpenJMSObject/_commands|,|java+method:///org/exolab/jms/tools/admin/OpenJMSUser/createCommands()|>>,
  <<|java+class:///org/exolab/jms/tools/admin/OpenJMSUser|,|java+class:///org/exolab/jms/tools/admin/OpenJMSObject|>,220,<|java+method:///org/exolab/jms/tools/admin/OpenJMSObject/refresh()|,|java+method:///org/exolab/jms/tools/admin/OpenJMSUser/changePassword()|>>,
  <<|java+class:///org/exolab/jms/tools/admin/OpenJMSUser|,|java+class:///org/exolab/jms/tools/admin/OpenJMSObject|>,220,<|java+field:///org/exolab/jms/tools/admin/OpenJMSObject/_tree|,|java+method:///org/exolab/jms/tools/admin/OpenJMSUser/changePassword()|>>,
  <<|java+class:///org/exolab/jms/tools/admin/OpenJMSUser|,|java+class:///org/exolab/jms/tools/admin/OpenJMSObject|>,220,<|java+method:///org/exolab/jms/tools/admin/OpenJMSObject/getInstanceSelected()|,|java+method:///org/exolab/jms/tools/admin/OpenJMSUser/changePassword()|>>,
  <<|java+class:///org/exolab/jms/tools/admin/OpenJMSUser|,|java+class:///org/exolab/jms/tools/admin/OpenJMSObject|>,220,<|java+field:///org/exolab/jms/tools/admin/OpenJMSObject/_name|,|java+method:///org/exolab/jms/tools/admin/OpenJMSUser/changePassword()|>>,
  <<|java+class:///org/exolab/jms/tools/admin/OpenJMSUser|,|java+class:///org/exolab/jms/tools/admin/OpenJMSObject|>,220,<|java+method:///org/exolab/jms/tools/admin/OpenJMSObject/refresh()|,|java+method:///org/exolab/jms/tools/admin/OpenJMSUser/deleteUser()|>>,
  <<|java+class:///org/exolab/jms/tools/admin/OpenJMSUser|,|java+class:///org/exolab/jms/tools/admin/OpenJMSObject|>,220,<|java+field:///org/exolab/jms/tools/admin/OpenJMSObject/_tree|,|java+method:///org/exolab/jms/tools/admin/OpenJMSUser/deleteUser()|>>,
  <<|java+class:///org/exolab/jms/tools/admin/OpenJMSUser|,|java+class:///org/exolab/jms/tools/admin/OpenJMSObject|>,220,<|java+method:///org/exolab/jms/tools/admin/OpenJMSObject/getInstanceSelected()|,|java+method:///org/exolab/jms/tools/admin/OpenJMSUser/deleteUser()|>>,
  <<|java+class:///org/exolab/jms/tools/admin/OpenJMSUser|,|java+class:///org/exolab/jms/tools/admin/OpenJMSObject|>,220,<|java+field:///org/exolab/jms/tools/admin/OpenJMSObject/_name|,|java+method:///org/exolab/jms/tools/admin/OpenJMSUser/deleteUser()|>>,
  <<|java+class:///org/exolab/jms/net/http/HTTPMultiplexer|,|java+class:///org/exolab/jms/net/multiplexer/Multiplexer|>,220,<|java+method:///org/exolab/jms/net/multiplexer/Multiplexer/authenticate(java.security.Principal)|,|java+constructor:///org/exolab/jms/net/http/HTTPMultiplexer/HTTPMultiplexer(org.exolab.jms.net.multiplexer.MultiplexerListener,org.exolab.jms.net.multiplexer.Endpoint,org.exolab.jms.net.uri.URI,java.security.Principal)|>>,
  <<|java+class:///org/exolab/jms/net/http/HTTPMultiplexer|,|java+class:///org/exolab/jms/net/multiplexer/Multiplexer|>,220,<|java+method:///org/exolab/jms/net/multiplexer/Multiplexer/initialise(org.exolab.jms.net.multiplexer.MultiplexerListener,org.exolab.jms.net.multiplexer.Endpoint,boolean)|,|java+constructor:///org/exolab/jms/net/http/HTTPMultiplexer/HTTPMultiplexer(org.exolab.jms.net.multiplexer.MultiplexerListener,org.exolab.jms.net.multiplexer.Endpoint,org.exolab.jms.net.uri.URI,java.security.Principal)|>>,
  <<|java+class:///org/exolab/jms/net/http/HTTPMultiplexer|,|java+class:///org/exolab/jms/net/multiplexer/Multiplexer|>,220,<|java+method:///org/exolab/jms/net/multiplexer/Multiplexer/isClient()|,|java+method:///org/exolab/jms/net/http/HTTPMultiplexer/handshake(java.io.DataOutputStream,java.io.DataInputStream)|>>,
  <<|java+class:///org/exolab/jms/net/http/HTTPMultiplexer|,|java+class:///org/exolab/jms/net/multiplexer/Multiplexer|>,220,<|java+method:///org/exolab/jms/net/multiplexer/Multiplexer/handshake(java.io.DataOutputStream,java.io.DataInputStream)|,|java+method:///org/exolab/jms/net/http/HTTPMultiplexer/handshake(java.io.DataOutputStream,java.io.DataInputStream)|>>,
  <<|java+class:///org/exolab/jms/client/JmsTopicPublisher|,|java+class:///org/exolab/jms/client/JmsMessageProducer|>,220,<|java+method:///org/exolab/jms/client/JmsMessageProducer/getPriority()|,|java+method:///org/exolab/jms/client/JmsTopicPublisher/publish(javax.jms.Topic,javax.jms.Message)|>>,
  <<|java+class:///org/exolab/jms/client/JmsTopicPublisher|,|java+class:///org/exolab/jms/client/JmsMessageProducer|>,220,<|java+method:///org/exolab/jms/client/JmsMessageProducer/getTimeToLive()|,|java+method:///org/exolab/jms/client/JmsTopicPublisher/publish(javax.jms.Topic,javax.jms.Message)|>>,
  <<|java+class:///org/exolab/jms/client/JmsTopicPublisher|,|java+class:///org/exolab/jms/client/JmsMessageProducer|>,220,<|java+method:///org/exolab/jms/client/JmsMessageProducer/getDeliveryMode()|,|java+method:///org/exolab/jms/client/JmsTopicPublisher/publish(javax.jms.Topic,javax.jms.Message)|>>,
  <<|java+class:///org/exolab/jms/client/JmsTopicPublisher|,|java+class:///org/exolab/jms/client/JmsMessageProducer|>,220,<|java+method:///org/exolab/jms/client/JmsMessageProducer/send(javax.jms.Destination,javax.jms.Message,int,int,long)|,|java+method:///org/exolab/jms/client/JmsTopicPublisher/publish(javax.jms.Topic,javax.jms.Message,int,int,long)|>>,
  <<|java+class:///org/exolab/jms/client/JmsTopicPublisher|,|java+class:///org/exolab/jms/client/JmsMessageProducer|>,220,<|java+method:///org/exolab/jms/client/JmsMessageProducer/getPriority()|,|java+method:///org/exolab/jms/client/JmsTopicPublisher/publish(javax.jms.Message)|>>,
  <<|java+class:///org/exolab/jms/client/JmsTopicPublisher|,|java+class:///org/exolab/jms/client/JmsMessageProducer|>,220,<|java+method:///org/exolab/jms/client/JmsMessageProducer/getTimeToLive()|,|java+method:///org/exolab/jms/client/JmsTopicPublisher/publish(javax.jms.Message)|>>,
  <<|java+class:///org/exolab/jms/client/JmsTopicPublisher|,|java+class:///org/exolab/jms/client/JmsMessageProducer|>,220,<|java+method:///org/exolab/jms/client/JmsMessageProducer/getDeliveryMode()|,|java+method:///org/exolab/jms/client/JmsTopicPublisher/publish(javax.jms.Message)|>>,
  <<|java+class:///org/exolab/jms/client/JmsTopicPublisher|,|java+class:///org/exolab/jms/client/JmsMessageProducer|>,220,<|java+method:///org/exolab/jms/client/JmsMessageProducer/getDestination()|,|java+method:///org/exolab/jms/client/JmsTopicPublisher/getTopic()|>>,
  <<|java+class:///org/exolab/jms/selector/LikeExpression|,|java+class:///org/exolab/jms/selector/IdentifierExpression|>,220,<|java+method:///org/exolab/jms/selector/IdentifierExpression/identifier()|,|java+method:///org/exolab/jms/selector/LikeExpression/toString()|>>,
  <<|java+class:///org/exolab/jms/selector/LikeExpression|,|java+class:///org/exolab/jms/selector/IdentifierExpression|>,220,<|java+method:///org/exolab/jms/selector/IdentifierExpression/identifier()|,|java+method:///org/exolab/jms/selector/LikeExpression/evaluate(javax.jms.Message)|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getRegistry()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testUnbind()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getORB()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testLocalLookup()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getORB()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testReadOnly()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getRegistry()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testReadOnly()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getORB()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/setUp()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/setUp()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/setUp()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getRegistry()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testAlreadyBound()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getORB()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testLocalAlreadyBound()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getRegistry()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testGetRegistry()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getRegistry()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testNotBound()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getORB()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testLocalNotBound()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getORB()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testLocalUnbind()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getORB()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testGetRegistryWithAuth()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getRegistry(org.exolab.jms.common.security.BasicPrincipal)|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testGetRegistryWithAuth()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/createORB(org.exolab.jms.net.connector.Authenticator)|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testGetRegistryWithAuth()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getRegistry()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testGetRegistryWithAuth()|>>,
  <<|java+class:///org/exolab/jms/net/registry/RegistryTestCase|,|java+class:///org/exolab/jms/net/invoke/ORBTestCase|>,220,<|java+method:///org/exolab/jms/net/invoke/ORBTestCase/getRegistry()|,|java+method:///org/exolab/jms/net/registry/RegistryTestCase/testLookup()|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/checkWrite()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/writeBytes(byte%5B%5D)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/setReadOnly(boolean)|,|java+method:///org/exolab/jms/message/StreamMessageImpl/setReadOnly(boolean)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/checkWrite()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/writeInt(int)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/readExternal(java.io.ObjectInput)|,|java+method:///org/exolab/jms/message/StreamMessageImpl/readExternal(java.io.ObjectInput)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/checkWrite()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/writeBytes(byte%5B%5D,int,int)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/checkRead()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/prepare()|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/checkWrite()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/writeString(java.lang.String)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/checkRead()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/readBytes(byte%5B%5D)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/checkWrite()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/writeObject(java.lang.Object)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/setJMSType(java.lang.String)|,|java+constructor:///org/exolab/jms/message/StreamMessageImpl/StreamMessageImpl()|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+field:///org/exolab/jms/message/MessageImpl/_bodyReadOnly|,|java+method:///org/exolab/jms/message/StreamMessageImpl/writeExternal(java.io.ObjectOutput)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/writeExternal(java.io.ObjectOutput)|,|java+method:///org/exolab/jms/message/StreamMessageImpl/writeExternal(java.io.ObjectOutput)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+field:///org/exolab/jms/message/MessageImpl/_bodyReadOnly|,|java+method:///org/exolab/jms/message/StreamMessageImpl/clearBody()|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+field:///org/exolab/jms/message/MessageImpl/_bodyReadOnly|,|java+method:///org/exolab/jms/message/StreamMessageImpl/reset()|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/checkWrite()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/writeShort(short)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/checkWrite()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/writeFloat(float)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+field:///org/exolab/jms/message/MessageImpl/_bodyReadOnly|,|java+method:///org/exolab/jms/message/StreamMessageImpl/clone()|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/clone()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/clone()|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/checkWrite()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/writeLong(long)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/checkWrite()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/writeByte(byte)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/checkWrite()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/writeBoolean(boolean)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/checkWrite()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/writeDouble(double)|>>,
  <<|java+class:///org/exolab/jms/message/StreamMessageImpl|,|java+class:///org/exolab/jms/message/MessageImpl|>,220,<|java+method:///org/exolab/jms/message/MessageImpl/checkWrite()|,|java+method:///org/exolab/jms/message/StreamMessageImpl/writeChar(char)|>>,
  <<|java+class:///org/exolab/jms/server/net/AbstractHTTPConnectorCfg|,|java+class:///org/exolab/jms/server/net/AbstractConnectorCfg|>,220,<|java+method:///org/exolab/jms/server/net/AbstractConnectorCfg/getURI(java.lang.String)|,|java+method:///org/exolab/jms/server/net/AbstractHTTPConnectorCfg/populateAcceptProperties(org.exolab.jms.net.util.Properties)|>>,
  <<|java+class:///org/exolab/jms/server/net/AbstractHTTPConnectorCfg|,|java+class:///org/exolab/jms/server/net/AbstractConnectorCfg|>,220,<|java+method:///org/exolab/jms/server/net/AbstractConnectorCfg/getConfiguration()|,|java+method:///org/exolab/jms/server/net/AbstractHTTPConnectorCfg/getConnectURI()|>>,
  <<|java+class:///org/exolab/jms/server/net/AbstractHTTPConnectorCfg|,|java+class:///org/exolab/jms/server/net/AbstractConnectorCfg|>,220,<|java+method:///org/exolab/jms/server/net/AbstractConnectorCfg/getScheme()|,|java+method:///org/exolab/jms/server/net/AbstractHTTPConnectorCfg/getConnectURI()|>>,
  <<|java+class:///org/exolab/jms/server/net/AbstractHTTPConnectorCfg|,|java+class:///org/exolab/jms/server/net/AbstractConnectorCfg|>,220,<|java+method:///org/exolab/jms/server/net/AbstractConnectorCfg/getConfiguration()|,|java+method:///org/exolab/jms/server/net/AbstractHTTPConnectorCfg/getExportURI(int)|>>,
  <<|java+class:///org/exolab/jms/server/net/AbstractHTTPConnectorCfg|,|java+class:///org/exolab/jms/server/net/AbstractConnectorCfg|>,220,<|java+method:///org/exolab/jms/server/net/AbstractConnectorCfg/getScheme()|,|java+method:///org/exolab/jms/server/net/AbstractHTTPConnectorCfg/getExportURI(int)|>>,
  <<|java+class:///org/exolab/jms/server/net/AbstractHTTPConnectorCfg|,|java+class:///org/exolab/jms/server/net/AbstractConnectorCfg|>,220,<|java+method:///org/exolab/jms/server/net/AbstractConnectorCfg/getURI(java.lang.String,java.lang.String,int)|,|java+method:///org/exolab/jms/server/net/AbstractHTTPConnectorCfg/getExportURI(int)|>>,
  <<|java+class:///org/exolab/jms/client/JmsXAQueueSession|,|java+class:///org/exolab/jms/client/JmsSession|>,220,<|java+method:///org/exolab/jms/client/JmsSession/getServerSession()|,|java+constructor:///org/exolab/jms/client/JmsXAQueueSession/JmsXAQueueSession(org.exolab.jms.client.JmsXAQueueConnection)|>>,
  <<|java+class:///org/exolab/jms/messagemgr/PersistentMessageHandle|,|java+class:///org/exolab/jms/messagemgr/AbstractMessageHandle|>,220,<|java+method:///org/exolab/jms/messagemgr/AbstractMessageHandle/setMessageRef(org.exolab.jms.messagemgr.MessageRef)|,|java+method:///org/exolab/jms/messagemgr/PersistentMessageHandle/reference(org.exolab.jms.messagemgr.MessageRef)|>>,
  <<|java+class:///org/exolab/jms/messagemgr/PersistentMessageHandle|,|java+class:///org/exolab/jms/messagemgr/AbstractMessageHandle|>,220,<|java+method:///org/exolab/jms/messagemgr/AbstractMessageHandle/destroy()|,|java+method:///org/exolab/jms/messagemgr/PersistentMessageHandle/destroy()|>>,
  <<|java+class:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint|,|java+class:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint|>,220,<|java+method:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint/notifyMessageAvailable()|,|java+method:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint/addMessage(org.exolab.jms.messagemgr.MessageHandle)|>>,
  <<|java+class:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint|,|java+class:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint|>,220,<|java+method:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint/getDestination()|,|java+method:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint/init()|>>,
  <<|java+class:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint|,|java+class:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint|>,220,<|java+method:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint/getNoLocal()|,|java+method:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint/persistentMessageAdded(org.exolab.jms.messagemgr.MessageHandle,org.exolab.jms.message.MessageImpl)|>>,
  <<|java+class:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint|,|java+class:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint|>,220,<|java+method:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint/isPersistent()|,|java+method:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint/persistentMessageAdded(org.exolab.jms.messagemgr.MessageHandle,org.exolab.jms.message.MessageImpl)|>>,
  <<|java+class:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint|,|java+class:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint|>,220,<|java+method:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint/getDestination()|,|java+method:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint/canConsume(org.exolab.jms.client.JmsDestination)|>>,
  <<|java+class:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint|,|java+class:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint|>,220,<|java+method:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint/canConsume(org.exolab.jms.client.JmsDestination)|,|java+method:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint/canConsume(org.exolab.jms.client.JmsDestination)|>>,
  <<|java+class:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint|,|java+class:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint|>,220,<|java+method:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint/getNoLocal()|,|java+method:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint/messageAdded(org.exolab.jms.messagemgr.MessageHandle,org.exolab.jms.message.MessageImpl)|>>,
  <<|java+class:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint|,|java+class:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint|>,220,<|java+method:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint/isPersistent()|,|java+method:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint/doClose()|>>,
  <<|java+class:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint|,|java+class:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint|>,220,<|java+method:///org/exolab/jms/messagemgr/AbstractConsumerEndpoint/selects(org.exolab.jms.message.MessageImpl)|,|java+method:///org/exolab/jms/messagemgr/AbstractTopicConsumerEndpoint/doReceive(org.exolab.jms.messagemgr.Condition)|>>,
