[
  <<|java+class:///org/apache/xalan/templates/ElemAttribute|,|java+class:///org/apache/xalan/templates/ElemElement|>,<|project://xalan-2.7.1/src/org/apache/xalan/templates/ElemAttributeSet.java|(3549,25,<125,6>,<125,31>),|java+method:///org/apache/xalan/templates/ElemElement/execute(org.apache.xalan.transformer.TransformerImpl)|,|java+project:///|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/AbsolutePathPattern|,|java+class:///org/apache/xalan/xsltc/compiler/Expression|>,<|java+project:///|,|java+method:///org/apache/xalan/xsltc/compiler/Expression/translateDesynthesized(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|,|java+method:///org/apache/xalan/xsltc/compiler/AbsolutePathPattern/translate(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|>>,
  <<|java+class:///org/apache/xpath/objects/XObject|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/asNode(org.apache.xpath.XPathContext)|,|java+method:///org/apache/xpath/objects/XObject/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncExtFunction|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/execute(org.apache.xpath.XPathContext,int,org.apache.xml.dtm.DTM,int)|,|java+method:///org/apache/xpath/functions/FuncExtFunction/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncCount|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/execute(org.apache.xpath.XPathContext,boolean)|,|java+method:///org/apache/xpath/functions/FuncCount/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xalan/templates/XUnresolvedVariable|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/execute(org.apache.xpath.XPathContext,boolean)|,|java+method:///org/apache/xalan/templates/XUnresolvedVariable/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncPosition|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/asIterator(org.apache.xpath.XPathContext,int)|,|java+method:///org/apache/xpath/functions/FuncPosition/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/util/StringType|,|java+class:///org/apache/xalan/xsltc/compiler/util/Type|>,<|java+project:///|,|java+method:///org/apache/xalan/xsltc/compiler/util/Type/translateToDesynthesized(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator,org.apache.xalan.xsltc.compiler.util.Type)|,|java+method:///org/apache/xalan/xsltc/compiler/util/StringType/translateTo(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator,org.apache.xalan.xsltc.compiler.util.Type)|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/UnresolvedRef|,|java+class:///org/apache/xalan/xsltc/compiler/Expression|>,<|java+project:///|,|java+method:///org/apache/xalan/xsltc/compiler/Expression/translateDesynthesized(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|,|java+method:///org/apache/xalan/xsltc/compiler/UnresolvedRef/translate(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncNot|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/executeCharsToContentHandler(org.apache.xpath.XPathContext,org.xml.sax.ContentHandler)|,|java+method:///org/apache/xpath/functions/FuncNot/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/patterns/UnionPattern|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/asIterator(org.apache.xpath.XPathContext,int)|,|java+method:///org/apache/xpath/patterns/UnionPattern/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xalan/templates/ElemSort|,|java+class:///org/apache/xalan/templates/ElemTemplateElement|>,<|java+project:///|,|java+method:///org/apache/xalan/templates/ElemTemplateElement/insertBefore(org.w3c.dom.Node,org.w3c.dom.Node)|,|java+method:///org/apache/xalan/templates/ElemSort/appendChild(org.w3c.dom.Node)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncNormalizeSpace|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/bool(org.apache.xpath.XPathContext)|,|java+method:///org/apache/xpath/functions/FuncNormalizeSpace/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xml/dtm/ref/dom2dtm/DOM2DTM|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|java+project:///|,|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/_parent(int)|,|java+method:///org/apache/xml/dtm/ref/dom2dtm/DOM2DTM/nextNode()|>>,
  <<|java+class:///org/apache/xml/serializer/ToHTMLStream|,|java+class:///org/apache/xml/serializer/ToStream|>,<|java+project:///|,|java+method:///org/apache/xml/serializer/ToStream/startElement(java.lang.String)|,|java+method:///org/apache/xml/serializer/ToHTMLStream/startElement(java.lang.String,java.lang.String,java.lang.String,org.xml.sax.Attributes)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncRound|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/execute(org.apache.xpath.XPathContext,int)|,|java+method:///org/apache/xpath/functions/FuncRound/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncCount|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/execute(org.apache.xpath.XPathContext,int,org.apache.xml.dtm.DTM,int)|,|java+method:///org/apache/xpath/functions/FuncCount/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xalan/templates/FuncFormatNumb|,|java+class:///org/apache/xpath/functions/FunctionOneArg|>,<|java+project:///|,|java+method:///org/apache/xpath/functions/FunctionOneArg/setArg(org.apache.xpath.Expression,int)|,|java+method:///org/apache/xalan/templates/FuncFormatNumb/reportWrongNumberArgs()|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/ProcessingInstructionPattern|,|java+class:///org/apache/xalan/xsltc/compiler/LocationPathPattern|>,<|java+project:///|,|java+method:///org/apache/xalan/xsltc/compiler/LocationPathPattern/getPriority()|,|java+method:///org/apache/xalan/xsltc/compiler/ProcessingInstructionPattern/getDefaultPriority()|>>,
  <<|java+class:///org/apache/xpath/functions/FuncGenerateId|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/asNode(org.apache.xpath.XPathContext)|,|java+method:///org/apache/xpath/functions/FuncGenerateId/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncLast|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/asNode(org.apache.xpath.XPathContext)|,|java+method:///org/apache/xpath/functions/FuncLast/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xml/serializer/ToStream|,|java+class:///org/apache/xml/serializer/SerializerBase|>,<|java+project:///|,|java+method:///org/apache/xml/serializer/SerializerBase/addAttributes(org.xml.sax.Attributes)|,|java+method:///org/apache/xml/serializer/ToStream/addAttributeAlways(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean)|>>,
  <<|java+class:///org/apache/xalan/templates/FuncFormatNumb|,|java+class:///org/apache/xpath/functions/Function3Args|>,<|java+project:///|,|java+method:///org/apache/xpath/functions/Function3Args/setArg(org.apache.xpath.Expression,int)|,|java+method:///org/apache/xalan/templates/FuncFormatNumb/reportWrongNumberArgs()|>>,
  <<|java+class:///org/apache/xml/serializer/ToTextStream|,|java+class:///org/apache/xml/serializer/ToStream|>,<|java+project:///|,|java+method:///org/apache/xml/serializer/ToStream/startElement(java.lang.String)|,|java+method:///org/apache/xml/serializer/ToTextStream/startElement(java.lang.String,java.lang.String,java.lang.String,org.xml.sax.Attributes)|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/LogicalExpr|,|java+class:///org/apache/xalan/xsltc/compiler/Expression|>,<|java+project:///|,|java+method:///org/apache/xalan/xsltc/compiler/Expression/compile(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|,|java+method:///org/apache/xalan/xsltc/compiler/LogicalExpr/translate(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncExtFunction|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/executeCharsToContentHandler(org.apache.xpath.XPathContext,org.xml.sax.ContentHandler)|,|java+method:///org/apache/xpath/functions/FuncExtFunction/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xalan/lib/sql/DTMDocument|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|java+project:///|,|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/dumpNode(int)|,|java+method:///org/apache/xalan/lib/sql/DTMDocument/getExpandedTypeID(int)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncFloor|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/asNode(org.apache.xpath.XPathContext)|,|java+method:///org/apache/xpath/functions/FuncFloor/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xalan/lib/sql/DTMDocument|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|java+project:///|,|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/dumpDTM(java.io.OutputStream)|,|java+method:///org/apache/xalan/lib/sql/DTMDocument/getNodeValue(int)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncCeiling|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/execute(org.apache.xpath.XPathContext,boolean)|,|java+method:///org/apache/xpath/functions/FuncCeiling/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xml/serializer/ToHTMLStream|,|java+class:///org/apache/xml/serializer/ToStream|>,<|java+project:///|,|java+method:///org/apache/xml/serializer/ToStream/ignorableWhitespace(char%5B%5D,int,int)|,|java+method:///org/apache/xml/serializer/ToHTMLStream/characters(char%5B%5D,int,int)|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/Predicate|,|java+class:///org/apache/xalan/xsltc/compiler/Expression|>,<|java+project:///|,|java+method:///org/apache/xalan/xsltc/compiler/Expression/translateDesynthesized(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|,|java+method:///org/apache/xalan/xsltc/compiler/Predicate/translate(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|>>,
  <<|java+class:///org/apache/xpath/objects/XStringForChars|,|java+class:///org/apache/xpath/objects/XString|>,<|java+project:///|,|java+method:///org/apache/xpath/objects/XString/substring(int)|,|java+method:///org/apache/xpath/objects/XStringForChars/str()|>>,
  <<|java+class:///org/apache/xpath/objects/XStringForChars|,|java+class:///org/apache/xpath/objects/XString|>,<|java+project:///|,|java+method:///org/apache/xpath/objects/XString/lastIndexOf(int)|,|java+method:///org/apache/xpath/objects/XStringForChars/str()|>>,
  <<|java+class:///org/apache/xpath/objects/XStringForChars|,|java+class:///org/apache/xpath/objects/XString|>,<|java+project:///|,|java+method:///org/apache/xpath/objects/XString/hashCode()|,|java+method:///org/apache/xpath/objects/XStringForChars/str()|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/ParentPattern|,|java+class:///org/apache/xalan/xsltc/compiler/Expression|>,<|java+project:///|,|java+method:///org/apache/xalan/xsltc/compiler/Expression/translateDesynthesized(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|,|java+method:///org/apache/xalan/xsltc/compiler/ParentPattern/translate(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|>>,
  <<|java+class:///org/apache/xalan/templates/ElemTemplateElement|,|java+class:///org/apache/xml/utils/UnImplNode|>,<|java+project:///|,|java+method:///org/apache/xml/utils/UnImplNode/getUserData(java.lang.String)|,|java+method:///org/apache/xalan/templates/ElemTemplateElement/getOwnerDocument()|>>,
  <<|java+class:///org/apache/xpath/functions/Function|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/num(org.apache.xpath.XPathContext)|,|java+method:///org/apache/xpath/functions/Function/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/objects/XNull|,|java+class:///org/apache/xpath/objects/XObject|>,<|java+project:///|,|java+method:///org/apache/xpath/objects/XObject/greaterThan(org.apache.xpath.objects.XObject)|,|java+method:///org/apache/xpath/objects/XNull/num()|>>,
  <<|java+class:///org/apache/xalan/lib/sql/DTMDocument|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|java+project:///|,|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/dumpDTM(java.io.OutputStream)|,|java+method:///org/apache/xalan/lib/sql/DTMDocument/getLocalName(int)|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/FloorCall|,|java+class:///org/apache/xalan/xsltc/compiler/FunctionCall|>,<|java+project:///|,|java+method:///org/apache/xalan/xsltc/compiler/FunctionCall/translateDesynthesized(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|,|java+method:///org/apache/xalan/xsltc/compiler/FloorCall/translate(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|>>,
  <<|java+class:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|java+project:///|,|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/_prevsib(int)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM/nextNode()|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/StepPattern|,|java+class:///org/apache/xalan/xsltc/compiler/LocationPathPattern|>,<|java+project:///|,|java+method:///org/apache/xalan/xsltc/compiler/LocationPathPattern/getPriority()|,|java+method:///org/apache/xalan/xsltc/compiler/StepPattern/getDefaultPriority()|>>,
  <<|java+class:///org/apache/xml/serializer/ToStream|,|java+class:///org/apache/xml/serializer/SerializerBase|>,<|java+project:///|,|java+method:///org/apache/xml/serializer/SerializerBase/addAttribute(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)|,|java+method:///org/apache/xml/serializer/ToStream/addAttributeAlways(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncNamespace|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/asIterator(org.apache.xpath.XPathContext,int)|,|java+method:///org/apache/xpath/functions/FuncNamespace/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncSystemProperty|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/asIterator(org.apache.xpath.XPathContext,int)|,|java+method:///org/apache/xpath/functions/FuncSystemProperty/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncSum|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/num(org.apache.xpath.XPathContext)|,|java+method:///org/apache/xpath/functions/FuncSum/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/objects/XStringForChars|,|java+class:///org/apache/xpath/objects/XString|>,<|java+project:///|,|java+method:///org/apache/xpath/objects/XString/equals(org.apache.xml.utils.XMLString)|,|java+method:///org/apache/xpath/objects/XStringForChars/str()|>>,
  <<|java+class:///org/apache/xalan/templates/XUnresolvedVariable|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/asNode(org.apache.xpath.XPathContext)|,|java+method:///org/apache/xalan/templates/XUnresolvedVariable/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncStringLength|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/bool(org.apache.xpath.XPathContext)|,|java+method:///org/apache/xpath/functions/FuncStringLength/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xalan/templates/FuncKey|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/execute(org.apache.xpath.XPathContext,int,org.apache.xml.dtm.DTM,int)|,|java+method:///org/apache/xalan/templates/FuncKey/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xalan/templates/ElemVariable|,|java+class:///org/apache/xml/utils/UnImplNode|>,<|java+project:///|,|java+method:///org/apache/xml/utils/UnImplNode/isEqualNode(org.w3c.dom.Node)|,|java+method:///org/apache/xalan/templates/ElemVariable/getNodeName()|>>,
  <<|java+class:///org/apache/xalan/xsltc/dom/XSLTCDTMManager|,|java+class:///org/apache/xml/dtm/ref/DTMManagerDefault|>,<|java+project:///|,|java+method:///org/apache/xml/dtm/ref/DTMManagerDefault/createDocumentFragment()|,|java+method:///org/apache/xalan/xsltc/dom/XSLTCDTMManager/getDTM(javax.xml.transform.Source,boolean,org.apache.xml.dtm.DTMWSFilter,boolean,boolean)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncQname|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/executeCharsToContentHandler(org.apache.xpath.XPathContext,org.xml.sax.ContentHandler)|,|java+method:///org/apache/xpath/functions/FuncQname/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/objects/XRTreeFragSelectWrapper|,|java+class:///org/apache/xpath/objects/XObject|>,<|java+project:///|,|java+method:///org/apache/xpath/objects/XObject/destruct()|,|java+method:///org/apache/xpath/objects/XRTreeFragSelectWrapper/detach()|>>,
  <<|java+class:///org/apache/xalan/templates/FuncFormatNumb|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/asIterator(org.apache.xpath.XPathContext,int)|,|java+method:///org/apache/xalan/templates/FuncFormatNumb/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/UnionPathExpr|,|java+class:///org/apache/xalan/xsltc/compiler/Expression|>,<|java+project:///|,|java+method:///org/apache/xalan/xsltc/compiler/Expression/compile(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|,|java+method:///org/apache/xalan/xsltc/compiler/UnionPathExpr/translate(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/RelationalExpr|,|java+class:///org/apache/xalan/xsltc/compiler/Expression|>,<|java+project:///|,|java+method:///org/apache/xalan/xsltc/compiler/Expression/compile(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|,|java+method:///org/apache/xalan/xsltc/compiler/RelationalExpr/translate(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|>>,
  <<|java+class:///org/apache/xalan/lib/sql/DTMDocument|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|java+project:///|,|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/dumpNode(int)|,|java+method:///org/apache/xalan/lib/sql/DTMDocument/getNodeNameX(int)|>>,
  <<|java+class:///org/apache/xml/serializer/ToSAXHandler|,|java+class:///org/apache/xml/serializer/SerializerBase|>,<|java+project:///|,|java+method:///org/apache/xml/serializer/SerializerBase/startDocument()|,|java+method:///org/apache/xml/serializer/ToSAXHandler/startDocumentInternal()|>>,
  <<|java+class:///org/apache/xalan/templates/ElemCopyOf|,|java+class:///org/apache/xalan/templates/ElemTemplateElement|>,<|java+project:///|,|java+method:///org/apache/xalan/templates/ElemTemplateElement/getLocalName()|,|java+method:///org/apache/xalan/templates/ElemCopyOf/getNodeName()|>>,
  <<|java+class:///org/apache/xpath/functions/FuncCurrent|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/executeCharsToContentHandler(org.apache.xpath.XPathContext,org.xml.sax.ContentHandler)|,|java+method:///org/apache/xpath/functions/FuncCurrent/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncTranslate|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/execute(org.apache.xpath.XPathContext,int,org.apache.xml.dtm.DTM,int)|,|java+method:///org/apache/xpath/functions/FuncTranslate/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/objects/XRTreeFragSelectWrapper|,|java+class:///org/apache/xpath/objects/XObject|>,<|java+project:///|,|java+method:///org/apache/xpath/objects/XObject/rtree(org.apache.xpath.XPathContext)|,|java+method:///org/apache/xpath/objects/XRTreeFragSelectWrapper/str()|>>,
  <<|java+class:///org/apache/xpath/axes/OneStepIterator|,|java+class:///org/apache/xpath/axes/BasicTestIterator|>,<|java+project:///|,|java+method:///org/apache/xpath/axes/BasicTestIterator/nextNode()|,|java+method:///org/apache/xpath/axes/OneStepIterator/getNextNode()|>>,
  <<|java+class:///org/apache/xpath/objects/XNodeSet|,|java+class:///org/apache/xpath/objects/XObject|>,<|java+project:///|,|java+method:///org/apache/xpath/objects/XObject/rtf(org.apache.xpath.XPathContext)|,|java+method:///org/apache/xpath/objects/XNodeSet/str()|>>,
  <<|java+class:///org/apache/xalan/lib/sql/DTMDocument|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|java+project:///|,|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/getFirstAttributeIdentity(int)|,|java+method:///org/apache/xalan/lib/sql/DTMDocument/_type(int)|>>,
  <<|java+class:///org/apache/xalan/templates/XUnresolvedVariableSimple|,|java+class:///org/apache/xpath/objects/XObject|>,<|java+project:///|,|java+method:///org/apache/xpath/objects/XObject/nodeset()|,|java+method:///org/apache/xalan/templates/XUnresolvedVariableSimple/getTypeString()|>>,
  <<|java+class:///org/apache/xalan/templates/ElemTemplateElement|,|java+class:///org/apache/xml/utils/UnImplNode|>,<|java+project:///|,|java+method:///org/apache/xml/utils/UnImplNode/getDocumentElement()|,|java+method:///org/apache/xalan/templates/ElemTemplateElement/error(java.lang.String)|>>,
  <<|java+class:///org/apache/xpath/objects/XString|,|java+class:///org/apache/xpath/objects/XObject|>,<|java+project:///|,|java+method:///org/apache/xpath/objects/XObject/iter()|,|java+method:///org/apache/xpath/objects/XString/getTypeString()|>>,
  <<|java+class:///org/apache/xpath/functions/FuncStringLength|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/asIteratorRaw(org.apache.xpath.XPathContext,int)|,|java+method:///org/apache/xpath/functions/FuncStringLength/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/objects/XNull|,|java+class:///org/apache/xpath/objects/XObject|>,<|java+project:///|,|java+method:///org/apache/xpath/objects/XObject/greaterThanOrEqual(org.apache.xpath.objects.XObject)|,|java+method:///org/apache/xpath/objects/XNull/num()|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/FunctionAvailableCall|,|java+class:///org/apache/xalan/xsltc/compiler/Expression|>,<|java+project:///|,|java+method:///org/apache/xalan/xsltc/compiler/Expression/translateDesynthesized(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|,|java+method:///org/apache/xalan/xsltc/compiler/FunctionAvailableCall/translate(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|>>,
  <<|java+class:///org/apache/xalan/templates/ElemTemplateElement|,|java+class:///org/apache/xml/utils/UnImplNode|>,<|java+project:///|,|java+method:///org/apache/xml/utils/UnImplNode/createProcessingInstruction(java.lang.String,java.lang.String)|,|java+method:///org/apache/xalan/templates/ElemTemplateElement/error(java.lang.String)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncCount|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/asIterator(org.apache.xpath.XPathContext,int)|,|java+method:///org/apache/xpath/functions/FuncCount/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xalan/templates/ElemTemplateElement|,|java+class:///org/apache/xml/utils/UnImplNode|>,<|java+project:///|,|java+method:///org/apache/xml/utils/UnImplNode/getElementById(java.lang.String)|,|java+method:///org/apache/xalan/templates/ElemTemplateElement/error(java.lang.String)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncBoolean|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/xstr(org.apache.xpath.XPathContext)|,|java+method:///org/apache/xpath/functions/FuncBoolean/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xpath/functions/FuncPosition|,|java+class:///org/apache/xpath/Expression|>,<|java+project:///|,|java+method:///org/apache/xpath/Expression/executeCharsToContentHandler(org.apache.xpath.XPathContext,org.xml.sax.ContentHandler)|,|java+method:///org/apache/xpath/functions/FuncPosition/execute(org.apache.xpath.XPathContext)|>>,
  <<|java+class:///org/apache/xalan/xsltc/compiler/LangCall|,|java+class:///org/apache/xalan/xsltc/compiler/Expression|>,<|java+project:///|,|java+method:///org/apache/xalan/xsltc/compiler/Expression/translateDesynthesized(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|,|java+method:///org/apache/xalan/xsltc/compiler/LangCall/translate(org.apache.xalan.xsltc.compiler.util.ClassGenerator,org.apache.xalan.xsltc.compiler.util.MethodGenerator)|>>,
  <<|java+class:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM|,|java+class:///org/apache/xml/dtm/ref/DTMDefaultBase|>,<|java+project:///|,|java+method:///org/apache/xml/dtm/ref/DTMDefaultBase/dumpDTM(java.io.OutputStream)|,|java+method:///org/apache/xml/dtm/ref/sax2dtm/SAX2DTM/nextNode()|>>,
  <<|java+class:///org/apache/xml/serializer/ToUnknownStream|,|java+class:///org/apache/xml/serializer/SerializerBase|>,<|java+project:///|,|java+method:///org/apache/xml/serializer/SerializerBase/inTemporaryOutputState()|,|java+method:///org/apache/xml/serializer/ToUnknownStream/getEncoding()|>>,
  <<|java+class:///org/apache/xpath/objects/XBoolean|,|java+class:///org/apache/xpath/objects/XObject|>,<|java+project:///|,|java+method:///org/apache/xpath/objects/XObject/rtree(org.apache.xpath.XPathContext)|,|java+method:///org/apache/xpath/objects/XBoolean/str()|>>,
