[
  <<|java+class:///org/apache/html/dom/HTMLDocumentImpl|,|java+interface:///org/w3c/dom/html/HTMLDocument|>,202,|java+variable:///org/cyberneko/html/DOMFragmentParserTest/doTest(java.lang.String,java.lang.String)/document|>,
  <<|java+class:///org/cyberneko/html/HTMLScanner|,|java+interface:///org/apache/xerces/xni/parser/XMLDocumentSource|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(19961,48,<577,12>,<577,60>)>,
  <<|java+class:///org/cyberneko/html/HTMLTagBalancer|,|java+interface:///org/apache/xerces/xni/parser/XMLDocumentSource|>,201,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(20023,25,<578,12>,<578,37>)>,
  <<|java+interface:///org/apache/xerces/xni/parser/XMLDocumentFilter|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(20098,41,<580,38>,<580,79>)>,
  <<|java+interface:///org/apache/xerces/xni/parser/XMLDocumentFilter|,|java+interface:///org/apache/xerces/xni/XMLDocumentHandler|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(20398,37,<585,16>,<585,53>)>,
  <<|java+interface:///org/apache/xerces/xni/parser/XMLDocumentFilter|,|java+interface:///org/apache/xerces/xni/parser/XMLDocumentSource|>,201,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(20453,19,<586,16>,<586,35>)>,
  <<|java+class:///java/util/Locale|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(21880,27,<635,21>,<635,48>)>,
  <<|java+class:///org/cyberneko/html/HTMLScanner|,|java+interface:///org/apache/xerces/xni/XMLLocator|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLConfiguration.java|(23604,48,<679,19>,<679,67>)>,
  <<|java+class:///org/cyberneko/html/HTMLConfiguration|,|java+interface:///org/apache/xerces/xni/parser/XMLParserConfiguration|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/parsers/SAXParser.java|(1051,31,<38,8>,<38,39>)>,
  <<|java+class:///java/io/StringReader|,|java+class:///java/io/Reader|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/HTMLTagBalancingListenerTest.java|(1176,47,<37,33>,<37,80>)>,
  <<|java+class:///org/apache/html/dom/HTMLDocumentImpl|,|java+interface:///org/w3c/dom/html/HTMLDocument|>,202,|java+variable:///sample/TestHTMLDOMFragment/main(java.lang.String%5B%5D)/document|>,
  <<|java+interface:///org/w3c/dom/DocumentFragment|,|java+interface:///org/w3c/dom/Node|>,207,|project://nekohtml-1.9.14/src/sample/TestHTMLDOMFragment.java|(1570,19,<47,12>,<47,31>)>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///org/cyberneko/html/TestParser/messages|>,
  <<|java+class:///org/cyberneko/html/HTMLConfiguration|,|java+interface:///org/apache/xerces/xni/parser/XMLParserConfiguration|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/HTMLTagBalancingListenerTest.java|(1832,31,<56,2>,<56,33>)>,
  <<|java+class:///org/cyberneko/html/SecuritySupport12|,|java+class:///org/cyberneko/html/SecuritySupport|>,201,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport.java|(2143,28,<61,5>,<61,33>)>,
  <<|java+class:///org/cyberneko/html/SecuritySupport|,|java+class:///java/lang/Object|>,201,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport.java|(2286,20,<67,5>,<67,25>)>,
  <<|java+class:///org/cyberneko/html/SecuritySupport|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport.java|(2516,32,<76,8>,<76,40>)>,
  <<|java+class:///org/cyberneko/html/HTMLAugmentations|,|java+interface:///org/apache/xerces/xni/Augmentations|>,201,|project://nekohtml-1.9.14/src/org/cyberneko/html/LostText.java|(1495,35,<49,7>,<49,42>)>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///org/cyberneko/html/LostText/entries|>,
  <<|java+class:///org/cyberneko/html/LostText/Entry|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/LostText.java|(2157,28,<69,32>,<69,60>)>,
  <<|java+class:///org/cyberneko/html/filters/NamespaceBinder/NamespaceSupport|,|java+interface:///org/apache/xerces/xni/NamespaceContext|>,206,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(18373,4,<542,19>,<542,23>)>,
  <<|java+class:///java/io/StringReader|,|java+class:///java/io/Reader|>,207,|project://nekohtml-1.9.14/src/sample/Script.java|(5771,56,<169,36>,<169,92>)>,
  <<|java+class:///java/io/StringWriter|,|java+class:///java/io/Writer|>,207,|project://nekohtml-1.9.14/src/sample/Script.java|(5919,21,<171,34>,<171,55>)>,
  <<|java+class:///java/io/StringReader|,|java+class:///java/io/Reader|>,207,|project://nekohtml-1.9.14/src/sample/Script.java|(7130,202,<202,40>,<204,67>)>,
  <<|java+interface:///org/apache/xerces/xni/parser/XMLDocumentFilter|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/sample/Script.java|(7984,36,<228,8>,<228,44>)>,
  <<|java+interface:///org/cyberneko/html/HTMLEventInfo|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/Identity.java|(3540,42,<99,29>,<99,71>)>,
  <<|java+anonymousClass:///org/cyberneko/html/SecuritySupport12/getContextClassLoader()/$anonymous1|,|java+interface:///java/security/PrivilegedAction|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(1297,234,<39,2>,<47,3>)>,
  <<|java+class:///java/lang/ClassLoader|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(1281,250,<38,8>,<47,3>)>,
  <<|java+anonymousClass:///org/cyberneko/html/SecuritySupport12/getSystemClassLoader()/$anonymous1|,|java+interface:///java/security/PrivilegedAction|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(1622,344,<52,12>,<60,14>)>,
  <<|java+class:///java/lang/ClassLoader|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(1596,370,<51,15>,<60,14>)>,
  <<|java+anonymousClass:///org/cyberneko/html/SecuritySupport12/getParentClassLoader(java/lang/ClassLoader)/$anonymous1|,|java+interface:///java/security/PrivilegedAction|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(2077,484,<65,12>,<76,14>)>,
  <<|java+class:///java/lang/ClassLoader|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(2051,510,<64,15>,<76,14>)>,
  <<|java+anonymousClass:///org/cyberneko/html/SecuritySupport12/getSystemProperty(java/lang/String)/$anonymous1|,|java+interface:///java/security/PrivilegedAction|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(2653,182,<81,12>,<85,14>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(2632,203,<80,8>,<85,14>)>,
  <<|java+anonymousClass:///org/cyberneko/html/SecuritySupport12/getFileInputStream(java/io/File)/$anonymous1|,|java+interface:///java/security/PrivilegedExceptionAction|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(3003,233,<93,16>,<97,18>)>,
  <<|java+class:///java/io/FileInputStream|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(2969,267,<92,19>,<97,18>)>,
  <<|java+class:///java/io/FileNotFoundException|,|java+class:///java/lang/Exception|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(3290,39,<99,11>,<99,50>)>,
  <<|java+anonymousClass:///org/cyberneko/html/SecuritySupport12/getResourceAsStream(java/lang/ClassLoader,java/lang/String)/$anonymous1|,|java+interface:///java/security/PrivilegedAction|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(3508,418,<107,12>,<117,14>)>,
  <<|java+class:///java/io/InputStream|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(3482,444,<106,15>,<117,14>)>,
  <<|java+anonymousClass:///org/cyberneko/html/SecuritySupport12/getFileExists(java/io/File)/$anonymous1|,|java+interface:///java/security/PrivilegedAction|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(4011,177,<122,12>,<126,14>)>,
  <<|java+class:///java/lang/Boolean|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(3989,199,<121,12>,<126,14>)>,
  <<|java+anonymousClass:///org/cyberneko/html/SecuritySupport12/getLastModified(java/io/File)/$anonymous1|,|java+interface:///java/security/PrivilegedAction|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(4285,180,<131,12>,<135,14>)>,
  <<|java+class:///java/lang/Long|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/SecuritySupport12.java|(4266,199,<130,12>,<135,14>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(5473,40,<185,16>,<185,56>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(6348,43,<208,16>,<208,59>)>,
  <<|java+class:///org/cyberneko/html/filters/NamespaceBinder/NamespaceSupport|,|java+interface:///org/apache/xerces/xni/NamespaceContext|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(7948,60,<254,8>,<254,68>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(12038,21,<367,12>,<367,33>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(12101,21,<368,12>,<368,33>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(13107,21,<397,46>,<397,67>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(14209,29,<422,20>,<422,49>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(15880,30,<461,22>,<461,52>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(16041,17,<464,17>,<464,34>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(16091,20,<465,29>,<465,49>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(16322,22,<469,16>,<469,38>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(17720,27,<523,20>,<523,47>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(19373,22,<574,20>,<574,42>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(20080,21,<592,20>,<592,41>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/filters/NamespaceBinder.java|(20501,25,<604,21>,<604,46>)>,
  <<|java+class:///java/io/PrintStream|,|java+class:///java/io/OutputStream|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/Writer.java|(1427,27,<48,32>,<48,59>)>,
  <<|java+class:///java/io/PrintStream|,|java+class:///java/io/OutputStream|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/Writer.java|(3431,17,<109,8>,<109,25>)>,
  <<|java+interface:///org/cyberneko/html/HTMLEventInfo|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/Writer.java|(10946,96,<349,55>,<350,76>)>,
  <<|java+interface:///org/cyberneko/html/HTMLEventInfo|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/Writer.java|(12144,96,<379,55>,<380,76>)>,
  <<|java+interface:///org/cyberneko/html/HTMLEventInfo|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/Writer.java|(12870,96,<394,55>,<395,76>)>,
  <<|java+class:///org/cyberneko/html/HTMLConfiguration|,|java+interface:///org/apache/xerces/xni/parser/XMLParserConfiguration|>,202,|java+variable:///org/cyberneko/html/Writer/main(java.lang.String%5B%5D)/parser|>,
  <<|java+interface:///org/apache/xerces/xni/parser/XMLDocumentFilter|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/test/java/org/cyberneko/html/Writer.java|(15425,75,<467,8>,<467,83>)>,
  <<|java+class:///org/cyberneko/html/HTMLEventInfo/SynthesizedItem|,|java+interface:///org/cyberneko/html/HTMLEventInfo|>,202,|java+field:///org/cyberneko/html/HTMLScanner/SYNTHESIZED_ITEM|>,
  <<|java+class:///org/cyberneko/html/HTMLScanner/ContentScanner|,|java+interface:///org/cyberneko/html/HTMLScanner/Scanner|>,202,|java+field:///org/cyberneko/html/HTMLScanner/fContentScanner|>,
  <<|java+class:///org/cyberneko/html/HTMLScanner/CurrentEntity|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(22211,41,<617,33>,<617,74>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(24516,40,<683,16>,<683,56>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(24962,43,<694,16>,<694,59>)>,
  <<|java+interface:///org/cyberneko/html/HTMLErrorReporter|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(27154,54,<741,25>,<741,79>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(27547,31,<751,12>,<751,43>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(27647,42,<754,17>,<754,59>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(27767,34,<757,17>,<757,51>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(27871,41,<760,17>,<760,58>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(27988,42,<763,17>,<763,59>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(28107,36,<766,17>,<766,53>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(28217,43,<769,17>,<769,60>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(28338,45,<772,17>,<772,62>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(28463,42,<775,17>,<775,59>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(28582,44,<778,17>,<778,61>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(28705,42,<781,17>,<781,59>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(28825,40,<784,17>,<784,57>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(29111,30,<794,12>,<794,42>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(29252,30,<799,12>,<799,42>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(29393,35,<804,12>,<804,47>)>,
  <<|java+class:///org/cyberneko/html/HTMLScanner/PlaybackInputStream|,|java+class:///java/io/InputStream|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(32227,49,<880,21>,<880,70>)>,
  <<|java+class:///java/io/InputStreamReader|,|java+class:///java/io/Reader|>,201,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(32218,58,<880,12>,<880,70>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(35086,29,<966,16>,<966,45>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(38390,21,<1069,12>,<1069,33>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(38473,21,<1072,12>,<1072,33>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(46917,48,<1323,16>,<1323,64>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(48408,48,<1358,20>,<1358,68>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(49151,48,<1372,20>,<1372,68>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(50145,48,<1391,16>,<1391,64>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(50923,48,<1407,12>,<1407,60>)>,
  <<|java+class:///org/cyberneko/html/HTMLScanner/LocationItem|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(57369,42,<1580,12>,<1580,54>)>,
  <<|java+interface:///org/cyberneko/html/HTMLEventInfo|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(57760,45,<1591,12>,<1591,57>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(58531,18,<1615,15>,<1615,33>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(58553,17,<1615,37>,<1615,54>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(58574,17,<1615,58>,<1615,75>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(58610,19,<1616,15>,<1616,34>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(58633,19,<1616,38>,<1616,57>)>,
  <<|java+class:///java/io/InputStreamReader|,|java+class:///java/io/Reader|>,201,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(65939,27,<1857,12>,<1857,39>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(70860,48,<2000,36>,<2000,84>)>,
  <<|java+class:///org/cyberneko/html/HTMLScanner|,|java+interface:///org/apache/xerces/xni/XMLLocator|>,202,|java+variable:///org/cyberneko/html/HTMLScanner/ContentScanner/scan(boolean)/scope(0)/scope(0)/scope(0)/scope(2)/locator|>,
  <<|java+class:///org/apache/xerces/util/NamespaceSupport|,|java+interface:///org/apache/xerces/xni/NamespaceContext|>,202,|java+variable:///org/cyberneko/html/HTMLScanner/ContentScanner/scan(boolean)/scope(0)/scope(0)/scope(0)/scope(2)/nscontext|>,
  <<|java+class:///org/cyberneko/html/HTMLScanner/CurrentEntity|,|java+class:///java/lang/Object|>,203,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(75443,40,<2076,41>,<2076,81>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(77378,51,<2122,16>,<2122,67>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(79531,51,<2177,16>,<2177,67>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(83304,58,<2267,16>,<2267,74>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(84889,58,<2302,20>,<2302,78>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(85335,55,<2312,20>,<2312,75>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(87636,48,<2365,16>,<2365,64>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,202,|java+variable:///org/cyberneko/html/HTMLScanner/ContentScanner/scanPI()/scope(0)/data|>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(96314,48,<2570,20>,<2570,68>)>,
  <<|java+class:///org/apache/xerces/util/XMLAttributesImpl|,|java+interface:///org/apache/xerces/xni/XMLAttributes|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(97228,35,<2590,39>,<2590,74>)>,
  <<|java+class:///org/apache/xerces/util/XMLAttributesImpl|,|java+interface:///org/apache/xerces/xni/XMLAttributes|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(97555,32,<2595,41>,<2595,73>)>,
  <<|java+class:///org/apache/xerces/util/XMLAttributesImpl|,|java+interface:///org/apache/xerces/xni/XMLAttributes|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(99367,66,<2630,20>,<2630,86>)>,
  <<|java+class:///org/apache/xerces/util/XMLAttributesImpl|,|java+interface:///org/apache/xerces/xni/XMLAttributes|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(99496,66,<2633,20>,<2633,86>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(101140,34,<2680,12>,<2680,46>)>,
  <<|java+class:///org/cyberneko/html/HTMLScanner/PlaybackInputStream|,|java+class:///java/io/InputStream|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(101753,48,<2692,40>,<2692,88>)>,
  <<|java+class:///org/apache/xerces/util/XMLAttributesImpl|,|java+interface:///org/apache/xerces/xni/XMLAttributes|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(105733,55,<2794,20>,<2794,75>)>,
  <<|java+class:///org/apache/xerces/util/XMLAttributesImpl|,|java+interface:///org/apache/xerces/xni/XMLAttributes|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(107400,55,<2834,24>,<2834,79>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(108680,36,<2862,32>,<2862,68>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(108776,35,<2864,28>,<2864,63>)>,
  <<|java+class:///org/apache/xerces/util/XMLAttributesImpl|,|java+interface:///org/apache/xerces/xni/XMLAttributes|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(109509,55,<2879,24>,<2879,79>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(110533,36,<2903,28>,<2903,64>)>,
  <<|java+class:///org/apache/xerces/util/XMLStringBuffer|,|java+class:///org/apache/xerces/xni/XMLString|>,207,|project://nekohtml-1.9.14/src/org/cyberneko/html/HTMLScanner.java|(110621,35,<2905,24>,<2905,59>)>,
