[
  <<|java+class:///org/rssowl/core/persist/event/runnable/SearchConditionEventRunnable|,|java+class:///org/rssowl/core/persist/event/runnable/EventRunnable|>,220,<|java+method:///org/rssowl/core/persist/event/runnable/EventRunnable/getDAOService()|,|java+constructor:///org/rssowl/core/persist/event/runnable/SearchConditionEventRunnable/SearchConditionEventRunnable()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest4|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/list(org.rssowl.core.persist.ISearchCondition%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest4/testPhraseSearch_CONTAINS_ALL()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest4|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fFactory|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest4/testReindexAll()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest4|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/waitForIndexer()|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest4/testReindexAll()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest4|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fNewsEntityName|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest4/testReindexAll()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest4|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+field:///org/rssowl/core/tests/model/AbstractModelSearchTest/fModelSearch|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest4/testReindexAll()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest4|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/createNews(org.rssowl.core.persist.IFeed,java.lang.String,java.lang.String,org.rssowl.core.persist.INews.State)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest4/testReindexAll()|>>,
  <<|java+class:///org/rssowl/core/tests/model/ModelSearchTest4|,|java+class:///org/rssowl/core/tests/model/AbstractModelSearchTest|>,220,<|java+method:///org/rssowl/core/tests/model/AbstractModelSearchTest/list(org.rssowl.core.persist.ISearchCondition%5B%5D)|,|java+method:///org/rssowl/core/tests/model/ModelSearchTest4/testReindexAll()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/SearchCondition|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/toString()|,|java+method:///org/rssowl/core/internal/persist/SearchCondition/toString()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/SearchCondition|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getProperties()|,|java+method:///org/rssowl/core/internal/persist/SearchCondition/isIdentical(org.rssowl.core.persist.ISearchCondition)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/SearchCondition|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getId()|,|java+method:///org/rssowl/core/internal/persist/SearchCondition/isIdentical(org.rssowl.core.persist.ISearchCondition)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/SearchCondition|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getIdAsPrimitive()|,|java+method:///org/rssowl/core/internal/persist/SearchCondition/toReference()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/DescriptionDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+method:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/getSingleResult(com.db4o.query.Query)|,|java+method:///org/rssowl/core/internal/persist/dao/DescriptionDAOImpl/load(long)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/DescriptionDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+field:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/fDb|,|java+method:///org/rssowl/core/internal/persist/dao/DescriptionDAOImpl/load(long)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getId()|,|java+method:///org/rssowl/core/internal/persist/News/isIdentical(org.rssowl.core.persist.INews)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/Persistable|>,220,<|java+method:///org/rssowl/core/internal/persist/Persistable/createURI(java.lang.String)|,|java+method:///org/rssowl/core/internal/persist/News/getBase()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getIdAsPrimitive()|,|java+method:///org/rssowl/core/internal/persist/News/loadDescription()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getId()|,|java+method:///org/rssowl/core/internal/persist/News/getDescription()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getId()|,|java+method:///org/rssowl/core/internal/persist/News/toLongString()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getId()|,|java+method:///org/rssowl/core/internal/persist/News/mergeDescription(org.rssowl.core.internal.persist.MergeResult,org.rssowl.core.internal.persist.News)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/Persistable|>,220,<|java+method:///org/rssowl/core/internal/persist/Persistable/getURIText(java.net.URI)|,|java+method:///org/rssowl/core/internal/persist/News/setBase(java.net.URI)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getId()|,|java+method:///org/rssowl/core/internal/persist/News/toString()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getProperty(java.lang.String)|,|java+method:///org/rssowl/core/internal/persist/News/getProperty(java.lang.String)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getProperties()|,|java+method:///org/rssowl/core/internal/persist/News/getProperties()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/Persistable|>,220,<|java+method:///org/rssowl/core/internal/persist/Persistable/processListMergeResult(org.rssowl.core.internal.persist.MergeResult,org.rssowl.core.internal.persist.ComplexMergeResult)|,|java+method:///org/rssowl/core/internal/persist/News/merge(org.rssowl.core.persist.INews)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/removeProperty(java.lang.String)|,|java+method:///org/rssowl/core/internal/persist/News/removeProperty(java.lang.String)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/setProperty(java.lang.String,java.io.Serializable)|,|java+method:///org/rssowl/core/internal/persist/News/setProperty(java.lang.String,java.io.Serializable)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/equals(java.lang.Object)|,|java+method:///org/rssowl/core/internal/persist/News/addAttachment(org.rssowl.core.persist.IAttachment)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/Persistable|>,220,<|java+method:///org/rssowl/core/internal/persist/Persistable/createURI(java.lang.String)|,|java+method:///org/rssowl/core/internal/persist/News/getFeedReference()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/Persistable|>,220,<|java+method:///org/rssowl/core/internal/persist/Persistable/createURI(java.lang.String)|,|java+method:///org/rssowl/core/internal/persist/News/getLink()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/News|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getIdAsPrimitive()|,|java+method:///org/rssowl/core/internal/persist/News/toReference()|>>,
  <<|java+class:///org/rssowl/core/persist/event/runnable/FolderEventRunnable|,|java+class:///org/rssowl/core/persist/event/runnable/EventRunnable|>,220,<|java+method:///org/rssowl/core/persist/event/runnable/EventRunnable/getDAOService()|,|java+constructor:///org/rssowl/core/persist/event/runnable/FolderEventRunnable/FolderEventRunnable()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/NewsBin|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getIdAsPrimitive()|,|java+method:///org/rssowl/core/internal/persist/NewsBin/toReference()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/NewsBin|,|java+class:///org/rssowl/core/internal/persist/Mark|>,220,<|java+method:///org/rssowl/core/internal/persist/Mark/getNews(java.util.List)|,|java+method:///org/rssowl/core/internal/persist/NewsBin/getNews(java.util.Set)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/Label|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getIdAsPrimitive()|,|java+method:///org/rssowl/core/internal/persist/Label/toReference()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/Label|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/toString()|,|java+method:///org/rssowl/core/internal/persist/Label/toString()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/Label|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getProperties()|,|java+method:///org/rssowl/core/internal/persist/Label/isIdentical(org.rssowl.core.persist.ILabel)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/Label|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getId()|,|java+method:///org/rssowl/core/internal/persist/Label/isIdentical(org.rssowl.core.persist.ILabel)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/Person|,|java+class:///org/rssowl/core/internal/persist/Persistable|>,220,<|java+method:///org/rssowl/core/internal/persist/Persistable/getURIText(java.net.URI)|,|java+method:///org/rssowl/core/internal/persist/Person/setUri(java.net.URI)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/Person|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getProperties()|,|java+method:///org/rssowl/core/internal/persist/Person/isIdentical(org.rssowl.core.persist.IPerson)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/Person|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getId()|,|java+method:///org/rssowl/core/internal/persist/Person/isIdentical(org.rssowl.core.persist.IPerson)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/Person|,|java+class:///org/rssowl/core/internal/persist/Persistable|>,220,<|java+method:///org/rssowl/core/internal/persist/Persistable/createURI(java.lang.String)|,|java+method:///org/rssowl/core/internal/persist/Person/getEmail()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/Person|,|java+class:///org/rssowl/core/internal/persist/Persistable|>,220,<|java+method:///org/rssowl/core/internal/persist/Persistable/getURIText(java.net.URI)|,|java+method:///org/rssowl/core/internal/persist/Person/setEmail(java.net.URI)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/Person|,|java+class:///org/rssowl/core/internal/persist/Persistable|>,220,<|java+method:///org/rssowl/core/internal/persist/Persistable/createURI(java.lang.String)|,|java+method:///org/rssowl/core/internal/persist/Person/getUri()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/Person|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getIdAsPrimitive()|,|java+method:///org/rssowl/core/internal/persist/Person/toReference()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/Person|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/toString()|,|java+method:///org/rssowl/core/internal/persist/Person/toString()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/SearchMark|,|java+class:///org/rssowl/core/internal/persist/Mark|>,220,<|java+method:///org/rssowl/core/internal/persist/Mark/toString()|,|java+method:///org/rssowl/core/internal/persist/SearchMark/toLongString()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/SearchMark|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getIdAsPrimitive()|,|java+method:///org/rssowl/core/internal/persist/SearchMark/toReference()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/SearchMark|,|java+class:///org/rssowl/core/internal/persist/Mark|>,220,<|java+method:///org/rssowl/core/internal/persist/Mark/getParent()|,|java+method:///org/rssowl/core/internal/persist/SearchMark/isIdentical(org.rssowl.core.persist.ISearchMark)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/SearchMark|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getProperties()|,|java+method:///org/rssowl/core/internal/persist/SearchMark/isIdentical(org.rssowl.core.persist.ISearchMark)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/SearchMark|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getId()|,|java+method:///org/rssowl/core/internal/persist/SearchMark/isIdentical(org.rssowl.core.persist.ISearchMark)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/SearchMark|,|java+class:///org/rssowl/core/internal/persist/Mark|>,220,<|java+method:///org/rssowl/core/internal/persist/Mark/getPopularity()|,|java+method:///org/rssowl/core/internal/persist/SearchMark/isIdentical(org.rssowl.core.persist.ISearchMark)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/SearchMark|,|java+class:///org/rssowl/core/internal/persist/Mark|>,220,<|java+method:///org/rssowl/core/internal/persist/Mark/getLastVisitDate()|,|java+method:///org/rssowl/core/internal/persist/SearchMark/isIdentical(org.rssowl.core.persist.ISearchMark)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/SearchMark|,|java+class:///org/rssowl/core/internal/persist/Mark|>,220,<|java+method:///org/rssowl/core/internal/persist/Mark/getNews(java.util.List)|,|java+method:///org/rssowl/core/internal/persist/SearchMark/getNews(java.util.Set)|>>,
  <<|java+class:///org/rssowl/core/persist/event/SearchEvent|,|java+class:///org/rssowl/core/persist/event/ModelEvent|>,220,<|java+method:///org/rssowl/core/persist/event/ModelEvent/getEntity()|,|java+method:///org/rssowl/core/persist/event/SearchEvent/getEntity()|>>,
  <<|java+class:///org/rssowl/ui/internal/notifier/SearchNotificationItem|,|java+class:///org/rssowl/ui/internal/notifier/NotificationItem|>,220,<|java+method:///org/rssowl/ui/internal/notifier/NotificationItem/getText()|,|java+method:///org/rssowl/ui/internal/notifier/SearchNotificationItem/compareTo(org.rssowl.ui.internal.notifier.NotificationItem)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/createStringField(int,java.lang.String,org.apache.lucene.document.Field.Store,org.apache.lucene.document.Field.Index)|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/createDateField(int,java.util.Date,org.apache.lucene.document.Field.Store,org.apache.lucene.document.DateTools.Resolution)|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/createURIField(int,java.lang.String,org.apache.lucene.document.Field.Store,org.apache.lucene.document.Field.Index)|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/createAttachmentsField(int,java.util.List,org.apache.lucene.document.Field.Store,org.apache.lucene.document.Field.Index)|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/createBooleanField(int,boolean,org.apache.lucene.document.Field.Store)|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/createDocumentIDField()|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/addField(java.util.List,org.apache.lucene.document.Field)|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/getType()|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/createHTMLField(int,java.lang.String)|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/addFieldsToDocument(java.util.List)|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/createEnumField(int,java.lang.Enum,org.apache.lucene.document.Field.Store)|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/createLongField(int,long,org.apache.lucene.document.Field.Store)|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/createDateField(int,java.util.Date,org.apache.lucene.document.Field.Store)|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/createCategoriesField(int,java.util.List,org.apache.lucene.document.Field.Store,org.apache.lucene.document.Field.Index)|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/search/NewsDocument|,|java+class:///org/rssowl/core/internal/persist/search/SearchDocument|>,220,<|java+method:///org/rssowl/core/internal/persist/search/SearchDocument/createPersonField(int,org.rssowl.core.persist.IPerson,org.apache.lucene.document.Field.Store,org.apache.lucene.document.Field.Index)|,|java+method:///org/rssowl/core/internal/persist/search/NewsDocument/addFields(boolean)|>>,
  <<|java+class:///org/rssowl/ui/internal/editors/feed/NewsTableControl/MarkReadTracker|,|java+class:///org/rssowl/ui/internal/util/JobTracker|>,220,<|java+method:///org/rssowl/ui/internal/util/JobTracker/getDelay()|,|java+method:///org/rssowl/ui/internal/editors/feed/NewsTableControl/MarkReadTracker/getDelay()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/BookMark|,|java+class:///org/rssowl/core/internal/persist/Mark|>,220,<|java+method:///org/rssowl/core/internal/persist/Mark/toString()|,|java+method:///org/rssowl/core/internal/persist/BookMark/toLongString()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/BookMark|,|java+class:///org/rssowl/core/internal/persist/Mark|>,220,<|java+method:///org/rssowl/core/internal/persist/Mark/toString()|,|java+method:///org/rssowl/core/internal/persist/BookMark/toString()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/BookMark|,|java+class:///org/rssowl/core/internal/persist/Persistable|>,220,<|java+method:///org/rssowl/core/internal/persist/Persistable/createURI(java.lang.String)|,|java+method:///org/rssowl/core/internal/persist/BookMark/getFeedLinkReference()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/BookMark|,|java+class:///org/rssowl/core/internal/persist/Mark|>,220,<|java+method:///org/rssowl/core/internal/persist/Mark/getParent()|,|java+method:///org/rssowl/core/internal/persist/BookMark/isIdentical(org.rssowl.core.persist.IBookMark)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/BookMark|,|java+class:///org/rssowl/core/internal/persist/Mark|>,220,<|java+method:///org/rssowl/core/internal/persist/Mark/getCreationDate()|,|java+method:///org/rssowl/core/internal/persist/BookMark/isIdentical(org.rssowl.core.persist.IBookMark)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/BookMark|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getId()|,|java+method:///org/rssowl/core/internal/persist/BookMark/isIdentical(org.rssowl.core.persist.IBookMark)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/BookMark|,|java+class:///org/rssowl/core/internal/persist/Mark|>,220,<|java+method:///org/rssowl/core/internal/persist/Mark/getPopularity()|,|java+method:///org/rssowl/core/internal/persist/BookMark/isIdentical(org.rssowl.core.persist.IBookMark)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/BookMark|,|java+class:///org/rssowl/core/internal/persist/Mark|>,220,<|java+method:///org/rssowl/core/internal/persist/Mark/getLastVisitDate()|,|java+method:///org/rssowl/core/internal/persist/BookMark/isIdentical(org.rssowl.core.persist.IBookMark)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/BookMark|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getProperties()|,|java+method:///org/rssowl/core/internal/persist/BookMark/isIdentical(org.rssowl.core.persist.IBookMark)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/BookMark|,|java+class:///org/rssowl/core/internal/persist/Mark|>,220,<|java+method:///org/rssowl/core/internal/persist/Mark/getName()|,|java+method:///org/rssowl/core/internal/persist/BookMark/isIdentical(org.rssowl.core.persist.IBookMark)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/BookMark|,|java+class:///org/rssowl/core/internal/persist/AbstractEntity|>,220,<|java+method:///org/rssowl/core/internal/persist/AbstractEntity/getIdAsPrimitive()|,|java+method:///org/rssowl/core/internal/persist/BookMark/toReference()|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/PreferencesDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+method:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/delete(T)|,|java+method:///org/rssowl/core/internal/persist/dao/PreferencesDAOImpl/delete(java.lang.String)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/PreferencesDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+method:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/doSave(T)|,|java+method:///org/rssowl/core/internal/persist/dao/PreferencesDAOImpl/doSave(org.rssowl.core.persist.IPreference)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/PreferencesDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+field:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/fDb|,|java+method:///org/rssowl/core/internal/persist/dao/PreferencesDAOImpl/load(java.lang.String)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/PreferencesDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+field:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/fEntityClass|,|java+method:///org/rssowl/core/internal/persist/dao/PreferencesDAOImpl/load(java.lang.String)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/PreferencesDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+method:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/activateAll(C)|,|java+method:///org/rssowl/core/internal/persist/dao/PreferencesDAOImpl/load(java.lang.String)|>>,
  <<|java+class:///org/rssowl/core/internal/persist/dao/PreferencesDAOImpl|,|java+class:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO|>,220,<|java+method:///org/rssowl/core/internal/persist/dao/AbstractPersistableDAO/getList(com.db4o.query.Query)|,|java+method:///org/rssowl/core/internal/persist/dao/PreferencesDAOImpl/load(java.lang.String)|>>,
  <<|java+class:///org/rssowl/core/persist/reference/SearchReference|,|java+class:///org/rssowl/core/persist/reference/ModelReference|>,220,<|java+method:///org/rssowl/core/persist/reference/ModelReference/resolve()|,|java+method:///org/rssowl/core/persist/reference/SearchReference/resolve()|>>,
