[
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///net/sourceforge/ganttproject/gui/options/model/GPAbstractOption/myListeners|>,
  <<|java+class:///net/sourceforge/ganttproject/task/CustomColumn|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/task/CustomColumnsStorage.java|(10464,29,<333,29>,<333,58>)>,
  <<|java+interface:///net/sourceforge/ganttproject/task/CustomColumsListener|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/task/CustomColumnsStorage.java|(10878,32,<347,44>,<347,76>)>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///net/sourceforge/ganttproject/chart/ChartModelBase/myTimeUnitVisitors|>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///net/sourceforge/ganttproject/chart/ChartModelBase/myOptionListeners|>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///net/sourceforge/ganttproject/chart/ChartModelBase/myTopUnitOffsets|>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///net/sourceforge/ganttproject/chart/ChartModelBase/myBottomUnitOffsets|>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///net/sourceforge/ganttproject/chart/ChartModelBase/myDefaultUnitOffsets|>,
  <<|java+anonymousClass:///net/sourceforge/ganttproject/chart/ChartModelBase/getDefaultUnitOffsets()/$anonymous1|,|java+class:///net/sourceforge/ganttproject/chart/RegularFrameOffsetBuilder|>,202,|java+variable:///net/sourceforge/ganttproject/chart/ChartModelBase/getDefaultUnitOffsets()/scope(0)/offsetBuilder|>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(4416,64,<116,12>,<116,76>)>,
  <<|java+class:///net/sourceforge/ganttproject/chart/ChartModelBase/Range|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(4896,12,<132,30>,<132,42>)>,
  <<|java+class:///net/sourceforge/ganttproject/chart/ChartModelBase/Offset|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(4973,34,<133,63>,<133,97>)>,
  <<|java+class:///net/sourceforge/ganttproject/chart/ChartModelBase/Offset|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(5012,30,<133,102>,<133,132>)>,
  <<|java+class:///java/util/HashMap|,|java+interface:///java/util/Map|>,202,|java+field:///net/sourceforge/ganttproject/chart/ChartModelBase/myRange2DefaultUnitOffsets|>,
  <<|java+class:///net/sourceforge/ganttproject/chart/ChartModelBase/Range|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(5494,37,<145,41>,<145,78>)>,
  <<|java+interface:///java/util/List|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(5487,44,<145,34>,<145,78>)>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,201,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(5678,36,<150,8>,<150,44>)>,
  <<|java+anonymousClass:///net/sourceforge/ganttproject/chart/ChartModelBase/getDefaultUnitOffsetsInRange(net/sourceforge/ganttproject/chart/ChartModelBase/Offset,net/sourceforge/ganttproject/chart/ChartModelBase/Offset)/$anonymous1|,|java+class:///net/sourceforge/ganttproject/chart/RegularFrameOffsetBuilder|>,202,|java+variable:///net/sourceforge/ganttproject/chart/ChartModelBase/getDefaultUnitOffsetsInRange(net.sourceforge.ganttproject.chart.ChartModelBase.Offset,net.sourceforge.ganttproject.chart.ChartModelBase.Offset)/offsetBuilder|>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(6524,62,<168,8>,<168,70>)>,
  <<|java+class:///net/sourceforge/ganttproject/chart/StyledPainterImpl|,|java+interface:///net/sourceforge/ganttproject/chart/Painter|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(8587,67,<205,8>,<205,75>)>,
  <<|java+class:///net/sourceforge/ganttproject/chart/StyledPainterImpl|,|java+interface:///net/sourceforge/ganttproject/chart/Painter|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(8664,60,<206,8>,<206,68>)>,
  <<|java+class:///net/sourceforge/ganttproject/chart/StyledPainterImpl|,|java+interface:///net/sourceforge/ganttproject/chart/Painter|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(11050,57,<271,8>,<271,65>)>,
  <<|java+class:///net/sourceforge/ganttproject/chart/StyledPainterImpl|,|java+interface:///net/sourceforge/ganttproject/chart/Painter|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(11493,64,<278,8>,<278,72>)>,
  <<|java+class:///net/sourceforge/ganttproject/chart/StyledPainterImpl|,|java+interface:///net/sourceforge/ganttproject/chart/Painter|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(11567,34,<279,8>,<279,42>)>,
  <<|java+interface:///net/sourceforge/ganttproject/chart/TimeUnitVisitor|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(12184,64,<292,42>,<293,27>)>,
  <<|java+interface:///net/sourceforge/ganttproject/chart/TimeUnitVisitor|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(12552,64,<303,42>,<304,27>)>,
  <<|java+interface:///net/sourceforge/ganttproject/chart/TimeUnitVisitor|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(12925,64,<314,42>,<315,27>)>,
  <<|java+interface:///net/sourceforge/ganttproject/chart/TimeUnitVisitor|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(13297,64,<325,42>,<326,27>)>,
  <<|java+interface:///net/sourceforge/ganttproject/chart/TimeUnitVisitor|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(13667,64,<336,42>,<337,27>)>,
  <<|java+interface:///net/sourceforge/ganttproject/chart/TimeUnitVisitor|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(14038,64,<347,42>,<348,27>)>,
  <<|java+interface:///net/sourceforge/ganttproject/chart/TimeUnitVisitor|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(14499,68,<359,46>,<360,31>)>,
  <<|java+class:///java/util/Date|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(14882,29,<375,13>,<375,42>)>,
  <<|java+interface:///net/sourceforge/ganttproject/time/TimeFrame|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(17510,46,<459,15>,<459,61>)>,
  <<|java+class:///java/util/Date|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(18389,22,<480,21>,<480,43>)>,
  <<|java+interface:///net/sourceforge/ganttproject/time/TimeUnit|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(21426,53,<554,12>,<554,65>)>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+variable:///net/sourceforge/ganttproject/chart/ChartModelBase/getDayTypeAlternance(net.sourceforge.ganttproject.time.TimeFrame,net.sourceforge.ganttproject.time.TimeUnit,int)/scope(1)/buf|>,
  <<|java+class:///net/sourceforge/ganttproject/chart/DayTypeAlternance|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(22207,89,<567,21>,<568,63>)>,
  <<|java+class:///net/sourceforge/ganttproject/chart/GraphicPrimitiveContainer/Rectangle|,|java+class:///net/sourceforge/ganttproject/chart/GraphicPrimitiveContainer/GraphicPrimitive|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(25443,25,<651,63>,<651,88>)>,
  <<|java+interface:///net/sourceforge/ganttproject/time/TimeUnitFunctionOfDate|,|java+interface:///net/sourceforge/ganttproject/time/TimeUnit|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(27550,34,<714,26>,<714,60>)>,
  <<|java+interface:///net/sourceforge/ganttproject/gui/options/model/GPOptionChangeListener|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(28082,70,<731,42>,<732,27>)>,
  <<|java+class:///net/sourceforge/ganttproject/chart/ChartModelBase/Offset|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(29944,13,<792,32>,<792,45>)>,
  <<|java+class:///java/util/Date|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(30042,42,<794,19>,<794,61>)>,
  <<|java+class:///java/util/Date|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(30107,48,<795,19>,<795,67>)>,
  <<|java+class:///net/sourceforge/ganttproject/chart/ChartHeaderImpl|,|java+interface:///net/sourceforge/ganttproject/chart/ChartHeader|>,206,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/chart/ChartModelBase.java|(24638,13,<631,15>,<631,28>)>,
  <<|java+interface:///net/sourceforge/ganttproject/roles/Role|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/roles/RoleSetImpl.java|(581,37,<31,15>,<31,52>)>,
  <<|java+class:///net/sourceforge/ganttproject/roles/RoleSetImpl|,|java+interface:///net/sourceforge/ganttproject/roles/RoleSet|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/roles/RoleSetImpl.java|(713,38,<35,26>,<35,64>)>,
  <<|java+class:///net/sourceforge/ganttproject/roles/RoleSetImpl|,|java+interface:///net/sourceforge/ganttproject/roles/RoleSet|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/roles/RoleSetImpl.java|(790,36,<37,8>,<37,44>)>,
  <<|java+interface:///net/sourceforge/ganttproject/roles/Role|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/roles/RoleSetImpl.java|(906,20,<42,8>,<42,28>)>,
  <<|java+class:///net/sourceforge/ganttproject/roles/RoleSetImpl|,|java+interface:///net/sourceforge/ganttproject/roles/RoleSet|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/roles/RoleSetImpl.java|(936,36,<43,8>,<43,44>)>,
  <<|java+interface:///net/sourceforge/ganttproject/roles/Role|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/roles/RoleSetImpl.java|(1296,21,<56,24>,<56,45>)>,
  <<|java+class:///net/sourceforge/ganttproject/roles/RoleSetImpl|,|java+interface:///net/sourceforge/ganttproject/roles/RoleSet|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/roles/RoleSetImpl.java|(1691,36,<75,8>,<75,44>)>,
  <<|java+class:///net/sourceforge/ganttproject/roles/RoleImpl|,|java+interface:///net/sourceforge/ganttproject/roles/Role|>,206,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/roles/RoleSetImpl.java|(843,6,<38,15>,<38,21>)>,
  <<|java+class:///java/util/Date|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/io/CalendarSaver.java|(2018,18,<53,21>,<53,39>)>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///net/sourceforge/ganttproject/calendar/XMLCalendarOpen/myCalendarResources|>,
  <<|java+class:///net/sourceforge/ganttproject/calendar/XMLCalendarOpen/GanttXMLParser|,|java+class:///org/xml/sax/helpers/DefaultHandler|>,202,|java+variable:///net/sourceforge/ganttproject/calendar/XMLCalendarOpen/load(java.io.InputStream)/handler|>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/calendar/XMLCalendarOpen.java|(2425,16,<79,24>,<79,40>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/calendar/XMLCalendarOpen.java|(2587,24,<84,24>,<84,48>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/calendar/XMLCalendarOpen.java|(2643,20,<85,28>,<85,48>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/calendar/XMLCalendarOpen.java|(2756,20,<87,35>,<87,55>)>,
  <<|java+interface:///net/sourceforge/ganttproject/parser/ParsingListener|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/calendar/XMLCalendarOpen.java|(3433,36,<111,36>,<111,72>)>,
  <<|java+interface:///net/sourceforge/ganttproject/parser/TagHandler|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/calendar/XMLCalendarOpen.java|(3880,28,<122,34>,<122,62>)>,
  <<|java+class:///net/sourceforge/ganttproject/parser/FileFormatException|,|java+class:///java/lang/Throwable|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/calendar/XMLCalendarOpen.java|(4082,23,<126,26>,<126,49>)>,
  <<|java+interface:///net/sourceforge/ganttproject/parser/TagHandler|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/calendar/XMLCalendarOpen.java|(4409,28,<135,34>,<135,62>)>,
  <<|java+class:///net/sourceforge/ganttproject/calendar/XMLCalendarOpen/DefaultTagHandler|,|java+interface:///net/sourceforge/ganttproject/parser/TagHandler|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/calendar/XMLCalendarOpen.java|(5232,42,<158,31>,<158,73>)>,
  <<|java+class:///net/sourceforge/ganttproject/calendar/XMLCalendarOpen/DefaultTagHandler|,|java+interface:///net/sourceforge/ganttproject/parser/TagHandler|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/calendar/XMLCalendarOpen.java|(5284,17,<159,8>,<159,25>)>,
  <<|java+class:///java/net/URL|,|java+class:///java/lang/Object|>,203,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/calendar/XMLCalendarOpen.java|(6144,47,<175,15>,<175,62>)>,
  <<|java+class:///net/sourceforge/ganttproject/calendar/XMLCalendarOpen/DefaultTagHandler|,|java+interface:///net/sourceforge/ganttproject/parser/TagHandler|>,206,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/calendar/XMLCalendarOpen.java|(1945,23,<67,15>,<67,38>)>,
  <<|java+anonymousClass:///net/sourceforge/ganttproject/export/ExporterChooserPage/getComponent()/$anonymous1|,|java+interface:///javax/swing/Action|>,202,|java+variable:///net/sourceforge/ganttproject/export/ExporterChooserPage/getComponent()/scope(0)/scope(0)/nextAction|>,
  <<|java+class:///net/sourceforge/ganttproject/gui/scrolling/ScrollingManagerImpl|,|java+interface:///net/sourceforge/ganttproject/gui/scrolling/ScrollingManager|>,201,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(2639,47,<69,8>,<69,55>)>,
  <<|java+class:///net/sourceforge/ganttproject/UIFacadeImpl|,|java+class:///org/eclipse/core/runtime/jobs/ProgressProvider|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(2845,50,<73,8>,<73,58>)>,
  <<|java+anonymousClass:///net/sourceforge/ganttproject/UIFacadeImpl/MyDialog/$anonymous1|,|java+class:///net/sourceforge/ganttproject/action/OkAction|>,202,|java+field:///net/sourceforge/ganttproject/UIFacadeImpl/MyDialog/okAction|>,
  <<|java+anonymousClass:///net/sourceforge/ganttproject/UIFacadeImpl/MyDialog/$anonymous2|,|java+class:///net/sourceforge/ganttproject/action/CancelAction|>,202,|java+field:///net/sourceforge/ganttproject/UIFacadeImpl/MyDialog/cancelAction|>,
  <<|java+class:///javax/swing/JButton|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(6953,25,<173,12>,<173,37>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(7184,57,<179,8>,<179,65>)>,
  <<|java+class:///javax/swing/Box|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(7399,45,<183,8>,<183,53>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(7399,45,<183,8>,<183,53>)>,
  <<|java+class:///javax/swing/JPanel|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(7454,60,<184,8>,<184,68>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(7454,60,<184,8>,<184,68>)>,
  <<|java+anonymousClass:///net/sourceforge/ganttproject/UIFacadeImpl/showDialog(java/awt/Component,javax/swing/Action%5B%5D,java/lang/String)/$anonymous1|,|java+interface:///java/awt/event/WindowListener|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(7712,279,<189,8>,<195,10>)>,
  <<|java+class:///javax/swing/JFrame|,|java+class:///java/awt/Container|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(8054,41,<198,8>,<198,49>)>,
  <<|java+class:///javax/swing/JFrame|,|java+class:///java/awt/Frame|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(8363,169,<208,34>,<210,51>)>,
  <<|java+class:///net/sourceforge/ganttproject/ErrorNotifier|,|java+interface:///java/lang/Runnable|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(8878,45,<224,2>,<224,47>)>,
  <<|java+class:///javax/swing/ImageIcon|,|java+interface:///javax/swing/Icon|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(9187,82,<235,20>,<236,33>)>,
  <<|java+class:///javax/swing/ImageIcon|,|java+interface:///javax/swing/Icon|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(9348,92,<239,20>,<240,43>)>,
  <<|java+class:///javax/swing/ImageIcon|,|java+interface:///javax/swing/Icon|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(9516,89,<243,20>,<244,40>)>,
  <<|java+class:///javax/swing/ImageIcon|,|java+interface:///javax/swing/Icon|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(9685,93,<247,20>,<248,44>)>,
  <<|java+class:///javax/swing/JLabel|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(9956,41,<253,8>,<253,49>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(9956,41,<253,8>,<253,49>)>,
  <<|java+class:///javax/swing/JPanel|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(10235,41,<260,8>,<260,49>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(10235,41,<260,8>,<260,49>)>,
  <<|java+class:///javax/swing/JTextArea|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(10286,41,<261,8>,<261,49>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(10286,41,<261,8>,<261,49>)>,
  <<|java+class:///net/sourceforge/ganttproject/UIFacadeImpl/ProxyOkAction|,|java+interface:///java/beans/PropertyChangeListener|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(12034,42,<332,12>,<332,54>)>,
  <<|java+class:///net/sourceforge/ganttproject/UIFacadeImpl/ProxyOkAction|,|java+interface:///java/beans/PropertyChangeListener|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(12307,47,<340,12>,<340,59>)>,
  <<|java+class:///java/io/StringWriter|,|java+class:///java/io/Writer|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(13652,29,<382,29>,<382,58>)>,
  <<|java+class:///javax/swing/JFrame|,|java+class:///java/awt/Frame|>,206,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(11455,11,<306,15>,<306,26>)>,
  <<|java+class:///net/sourceforge/ganttproject/UIFacadeImpl/ProxyOkAction|,|java+interface:///javax/swing/Action|>,206,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(12844,47,<357,15>,<357,62>)>,
  <<|java+anonymousClass:///net/sourceforge/ganttproject/UIFacadeImpl/createCancelAction(javax/swing/Action,javax/swing/JDialog,net/sourceforge/ganttproject/UIFacadeImpl/Commiter)/$anonymous1|,|java+interface:///javax/swing/Action|>,206,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(13039,260,<362,15>,<370,9>)>,
  <<|java+class:///javax/swing/JPanel|,|java+class:///java/awt/Component|>,206,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/UIFacadeImpl.java|(10344,6,<262,15>,<262,21>)>,
  <<|java+class:///net/sourceforge/ganttproject/GanttProject|,|java+class:///java/awt/Frame|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(1646,189,<44,8>,<46,47>)>,
  <<|java+class:///javax/swing/JLabel|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(1977,95,<52,8>,<53,34>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(1977,95,<52,8>,<53,34>)>,
  <<|java+class:///javax/swing/JPanel|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(2216,22,<57,8>,<57,30>)>,
  <<|java+class:///javax/swing/JTextField|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(2248,47,<58,8>,<58,55>)>,
  <<|java+class:///javax/swing/JPanel|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(2305,26,<59,8>,<59,34>)>,
  <<|java+class:///javax/swing/JLabel|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(2429,91,<63,8>,<64,34>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(2429,91,<63,8>,<64,34>)>,
  <<|java+class:///javax/swing/JPanel|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(2682,24,<69,8>,<69,32>)>,
  <<|java+class:///javax/swing/JTextField|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(2716,40,<70,8>,<70,48>)>,
  <<|java+class:///javax/swing/JPanel|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(2766,26,<71,8>,<71,34>)>,
  <<|java+class:///javax/swing/JLabel|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(2896,94,<75,8>,<76,34>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(2896,94,<75,8>,<76,34>)>,
  <<|java+class:///javax/swing/JPanel|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(3165,27,<81,8>,<81,35>)>,
  <<|java+class:///javax/swing/JPasswordField|,|java+class:///java/awt/Component|>,207,|project://ganttproject-2.1.1/ganttproject/src/net/sourceforge/ganttproject/gui/server/ConnectionPanel.java|(3202,47,<82,8>,<82,55>)>,
